node_number;x[m];y[m];z[m]
6280.0;9.4;8.0;-0.181665182224
6281.0;9.4;7.9;-0.19568450331
6282.0;9.4;7.8;-0.211111344163
6283.0;9.4;7.7;-0.227769100657
6284.0;9.4;7.6;-0.245230852595
6285.0;9.4;7.5;-0.26288182518
6286.0;9.4;7.4;-0.280341050751
6287.0;9.4;7.3;-0.297666314951
6288.0;9.4;7.2;-0.315032283126
6289.0;9.4;7.1;-0.332451253389
6290.0;9.4;7.0;-0.349866061614
6291.0;9.4;6.9;-0.367267744259
6292.0;9.4;6.8;-0.384671815394
6293.0;9.4;6.7;-0.402077368869
6294.0;9.4;6.6;-0.419479385433
6295.0;9.4;6.5;-0.436881241293
6296.0;9.4;6.4;-0.454285708818
6297.0;9.4;6.3;-0.471690090242
6298.0;9.4;6.2;-0.489092955511
6299.0;9.4;6.1;-0.506497938936
6300.0;9.4;6.0;-0.523905761858
6301.0;9.5;8.0;-0.205035596238
6302.0;9.5;7.9;-0.21992790625
6303.0;9.5;7.8;-0.235980404998
6304.0;9.5;7.7;-0.252683899497
6305.0;9.5;7.6;-0.269616407698
6306.0;9.5;7.5;-0.286480326846
6307.0;9.5;7.4;-0.303167988095
6308.0;9.5;7.3;-0.319790319762
6309.0;9.5;7.2;-0.33648676815
6310.0;9.5;7.1;-0.353250524028
6311.0;9.5;7.0;-0.370003412291
6312.0;9.5;6.9;-0.38672255599
6313.0;9.5;6.8;-0.40343485652
6314.0;9.5;6.7;-0.420156148848
6315.0;9.5;6.6;-0.436881241294
6316.0;9.5;6.5;-0.453604850981
6317.0;9.5;6.4;-0.470328781164
6318.0;9.5;6.3;-0.487055051902
6319.0;9.5;6.2;-0.503781074281
6320.0;9.5;6.1;-0.520502960415
6321.0;9.5;6.0;-0.537220674612
6322.0;9.6;8.0;-0.230085479472
6323.0;9.6;7.9;-0.245416743848
6324.0;9.6;7.8;-0.261561990684
6325.0;9.6;7.7;-0.277826447626
6326.0;9.6;7.6;-0.293915367743
6327.0;9.6;7.5;-0.309912156289
6328.0;9.6;7.4;-0.325929876221
6329.0;9.6;7.3;-0.341968555807
6330.0;9.6;7.2;-0.358011893902
6331.0;9.6;7.1;-0.37406270188
6332.0;9.6;7.0;-0.390114574819
6333.0;9.6;6.9;-0.406158834878
6334.0;9.6;6.8;-0.422198825788
6335.0;9.6;6.7;-0.438241257981
6336.0;9.6;6.6;-0.454285708819
6337.0;9.6;6.5;-0.470328781165
6338.0;9.6;6.4;-0.486372168544
6339.0;9.6;6.3;-0.502419963341
6340.0;9.6;6.2;-0.518468377997
6341.0;9.6;6.1;-0.534506990775
6342.0;9.6;6.0;-0.550536625203
6343.0;9.7;8.0;-0.256386314886
6344.0;9.7;7.9;-0.271592975782
6345.0;9.7;7.8;-0.287286613492
6346.0;9.7;7.7;-0.302852756075
6347.0;9.7;7.6;-0.318133531368
6348.0;9.7;7.5;-0.333362382255
6349.0;9.7;7.4;-0.348719213232
6350.0;9.7;7.3;-0.364142666244
6351.0;9.7;7.2;-0.379529723512
6352.0;9.7;7.1;-0.394878206125
6353.0;9.7;7.0;-0.410228645453
6354.0;9.7;6.9;-0.425593186496
6355.0;9.7;6.8;-0.440961061667
6356.0;9.7;6.7;-0.456326015373
6357.0;9.7;6.6;-0.471690090243
6358.0;9.7;6.5;-0.487055051902
6359.0;9.7;6.4;-0.502419963341
6360.0;9.7;6.3;-0.517783796251
6361.0;9.7;6.2;-0.533145247237
6362.0;9.7;6.1;-0.548503454298
6363.0;9.7;6.0;-0.563866454516
6364.0;9.8;8.0;-0.283357680751
6365.0;9.8;7.9;-0.297991880867
6366.0;9.8;7.8;-0.312883811337
6367.0;9.8;7.7;-0.327683692664
6368.0;9.8;7.6;-0.342310130808
6369.0;9.8;7.5;-0.356898469437
6370.0;9.8;7.4;-0.371571310246
6371.0;9.8;7.3;-0.386302685266
6372.0;9.8;7.2;-0.401011847351
6373.0;9.8;7.1;-0.41568293725
6374.0;9.8;7.0;-0.43035092355
6375.0;9.8;6.9;-0.44503493184
6376.0;9.8;6.8;-0.459724811059
6377.0;9.8;6.7;-0.474409597399
6378.0;9.8;6.6;-0.489092955511
6379.0;9.8;6.5;-0.50378107428
6380.0;9.8;6.4;-0.518468377997
6381.0;9.8;6.3;-0.533145247237
6382.0;9.8;6.2;-0.547816743443
6383.0;9.8;6.1;-0.56250327153
6384.0;9.8;6.0;-0.577222560294
6385.0;9.9;8.0;-0.310461293958
6386.0;9.9;7.9;-0.324366633987
6387.0;9.9;7.8;-0.338415244383
6388.0;9.9;7.7;-0.352467043878
6389.0;9.9;7.6;-0.366474261273
6390.0;9.9;7.5;-0.380451618987
6391.0;9.9;7.4;-0.394445279926
6392.0;9.9;7.3;-0.408465838182
6393.0;9.9;7.2;-0.422482481859
6394.0;9.9;7.1;-0.436480023038
6395.0;9.9;7.0;-0.450474477521
6396.0;9.9;6.9;-0.464479710074
6397.0;9.9;6.8;-0.478490005747
6398.0;9.9;6.7;-0.492495581132
6399.0;9.9;6.6;-0.506497938936
6400.0;9.9;6.5;-0.520502960414
6401.0;9.9;6.4;-0.534506990775
6402.0;9.9;6.3;-0.548503454299
6403.0;9.9;6.2;-0.56250327153
6404.0;9.9;6.1;-0.576534403291
6405.0;9.9;6.0;-0.590615578757
6406.0;10.0;8.0;-0.337426586962
6407.0;10.0;7.9;-0.350646762989
6408.0;10.0;7.8;-0.363974648392
6409.0;10.0;7.7;-0.377320703066
6410.0;10.0;7.6;-0.390658481721
6411.0;10.0;7.5;-0.403981465546
6412.0;10.0;7.4;-0.417302236271
6413.0;10.0;7.3;-0.430630587258
6414.0;10.0;7.2;-0.443958910558
6415.0;10.0;7.1;-0.457279808509
6416.0;10.0;7.0;-0.470598551496
6417.0;10.0;6.9;-0.483923108476
6418.0;10.0;6.8;-0.497253566228
6419.0;10.0;6.7;-0.510583331587
6420.0;10.0;6.6;-0.523905761858
6421.0;10.0;6.5;-0.537220674612
6422.0;10.0;6.4;-0.550536625204
6423.0;10.0;6.3;-0.563866454517
6424.0;10.0;6.2;-0.577222560295
6425.0;10.0;6.1;-0.590615578757
6426.0;10.0;6.0;-0.604053077582
6427.0;8.0;5.6;-0.445053417976
6428.0;8.0;5.2;-0.552732576882
6429.0;8.0;4.8;-0.660424328849
6430.0;8.0;4.4;-0.768124591735
6431;;;;
6432.0;8.4;5.6;-0.487472558566
6433.0;8.4;5.2;-0.584280054933
6434.0;8.4;4.8;-0.681075230631
6435.0;8.4;4.4;-0.778099956194
6436;;;;
6437.0;8.8;5.6;-0.5298894267
6438.0;8.8;5.2;-0.615808688931
6439.0;8.8;4.8;-0.701956637559
6440.0;8.8;4.4;-0.788757487681
6441;;;;
6442.0;9.2;5.6;-0.572299009104
6443.0;9.2;5.2;-0.647572913283
6444.0;9.2;4.8;-0.723493665732
6445.0;9.2;4.4;-0.799646531809
6446;;;;
6447.0;9.6;5.6;-0.614936791318
