Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
48;1;0.250;-0.750;-3.388;-0.15;-0.24;-0.10;-1.20;-0.47;-4.00;-8.56;-0.13
49;1;0.250;-0.850;-3.412;-0.09;-0.19;-0.08;-0.97;-0.29;-3.52;-8.31;-0.07
50;1;0.250;-0.950;-3.435;-0.04;-0.15;-0.06;-0.78;-0.18;-3.10;-7.97;-0.03
51;1;0.250;-1.050;-3.459;-0.02;-0.12;-0.04;-0.63;-0.12;-2.75;-7.51;-0.03
52;1;0.250;-1.150;-3.482;0.00;-0.10;-0.03;-0.53;-0.08;-2.48;-6.95;-0.05
53;1;0.250;-1.250;-3.505;0.01;-0.07;-0.02;-0.46;-0.02;-2.29;-6.36;-0.07
54;1;0.250;-1.350;-3.529;0.03;-0.06;-0.01;-0.37;0.08;-2.16;-5.82;-0.07
55;1;0.250;-1.450;-3.552;0.03;-0.06;0.00;-0.26;0.10;-2.09;-5.33;-0.10
56;1;0.250;-1.550;-3.576;0.04;-0.06;0.00;-0.19;0.01;-2.12;-4.82;-0.17
57;1;0.250;-1.650;-3.599;0.06;-0.06;0.01;-0.22;-0.08;-2.27;-4.21;-0.27
58;1;0.250;-1.750;-3.623;0.08;-0.05;0.01;-0.26;-0.10;-2.54;-3.57;-0.37
59;1;0.250;-1.850;-3.646;0.09;-0.04;0.02;-0.28;-0.08;-2.91;-3.00;-0.45
60;1;0.250;-1.950;-3.670;0.11;-0.04;0.02;-0.30;-0.08;-3.32;-2.49;-0.54
61;1;0.350;-0.050;-3.249;-0.91;-1.27;0.64;5.23;-1.79;-7.59;-8.90;1.84
62;1;0.350;-0.150;-3.272;-0.86;-1.24;0.33;3.96;-3.72;-7.07;-9.71;1.03
63;1;0.350;-0.250;-3.295;-0.77;-0.92;0.11;1.52;-3.27;-6.17;-9.46;0.42
64;1;0.350;-0.350;-3.317;-0.65;-0.63;0.00;-0.01;-2.26;-5.48;-9.17;0.04
65;1;0.350;-0.450;-3.340;-0.50;-0.44;-0.04;-0.64;-1.45;-4.91;-9.00;-0.07
66;1;0.350;-0.550;-3.363;-0.36;-0.32;-0.06;-0.81;-0.91;-4.37;-8.86;-0.06
67;1;0.350;-0.650;-3.386;-0.24;-0.24;-0.06;-0.80;-0.56;-3.87;-8.69;-0.03
68;1;0.350;-0.750;-3.409;-0.16;-0.18;-0.06;-0.70;-0.33;-3.43;-8.49;0.01
69;1;0.350;-0.850;-3.431;-0.10;-0.15;-0.05;-0.58;-0.17;-3.06;-8.29;0.04
70;1;0.350;-0.950;-3.454;-0.06;-0.13;-0.04;-0.47;-0.09;-2.76;-8.06;0.05
71;1;0.350;-1.050;-3.477;-0.04;-0.11;-0.03;-0.39;-0.05;-2.53;-7.75;0.03
72;1;0.350;-1.150;-3.500;-0.02;-0.09;-0.02;-0.35;-0.03;-2.36;-7.35;-0.01
73;1;0.350;-1.250;-3.523;-0.01;-0.08;-0.01;-0.32;-0.01;-2.26;-6.86;-0.06
74;1;0.350;-1.350;-3.545;0.00;-0.07;0.00;-0.27;0.00;-2.22;-6.35;-0.12
75;1;0.350;-1.450;-3.568;0.02;-0.06;0.00;-0.19;-0.02;-2.28;-5.91;-0.20
76;1;0.350;-1.550;-3.591;0.03;-0.06;0.00;-0.14;-0.04;-2.43;-5.55;-0.30
77;1;0.350;-1.650;-3.614;0.05;-0.07;0.00;-0.16;-0.05;-2.66;-5.16;-0.41
78;1;0.350;-1.750;-3.637;0.07;-0.06;0.01;-0.23;-0.06;-2.96;-4.68;-0.53
79;1;0.350;-1.850;-3.660;0.08;-0.06;0.02;-0.28;-0.04;-3.32;-4.15;-0.61
80;1;0.350;-1.950;-3.682;0.10;-0.05;0.02;-0.34;0.01;-3.70;-3.62;-0.65
81;1;0.450;-0.050;-3.274;-0.60;-0.87;0.50;3.52;-0.70;-7.40;-8.85;1.66
82;1;0.450;-0.150;-3.296;-0.58;-0.80;0.28;3.18;-2.04;-6.62;-9.37;0.83
83;1;0.450;-0.250;-3.318;-0.57;-0.62;0.13;1.76;-1.96;-5.69;-9.18;0.41
