Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;6.25;10.36;-2.60;5.99;46.07;49.32;72.66;-30.61
2;1;0.050;-0.150;-3.200;3.16;2.78;-1.85;22.96;17.45;35.79;49.80;-12.21
3;1;0.050;-0.250;-3.224;1.99;1.14;-1.91;13.95;4.73;26.69;27.05;-9.71
4;1;0.050;-0.350;-3.249;1.13;0.38;-1.64;7.66;1.26;18.86;14.63;-6.59
5;1;0.050;-0.450;-3.274;0.50;-0.09;-1.26;3.71;-0.19;12.33;6.48;-4.06
6;1;0.050;-0.550;-3.298;0.20;-0.30;-0.98;1.43;-0.70;7.41;1.11;-2.44
7;1;0.050;-0.650;-3.323;0.04;-0.37;-0.75;0.12;-0.84;3.76;-2.47;-1.45
8;1;0.050;-0.750;-3.348;-0.02;-0.37;-0.57;-0.60;-0.82;1.15;-4.84;-0.90
9;1;0.050;-0.850;-3.372;-0.04;-0.33;-0.42;-0.94;-0.74;-0.61;-6.32;-0.63
10;1;0.050;-0.950;-3.397;-0.04;-0.27;-0.31;-1.05;-0.64;-1.72;-7.14;-0.52
11;1;0.050;-1.050;-3.422;-0.03;-0.20;-0.22;-1.02;-0.52;-2.32;-7.47;-0.48
12;1;0.050;-1.150;-3.446;-0.01;-0.15;-0.16;-0.93;-0.41;-2.56;-7.42;-0.46
13;1;0.050;-1.250;-3.471;0.01;-0.10;-0.12;-0.83;-0.32;-2.60;-7.09;-0.42
14;1;0.050;-1.350;-3.496;0.02;-0.06;-0.08;-0.68;-0.25;-2.49;-6.56;-0.40
15;1;0.050;-1.450;-3.520;0.03;-0.03;-0.06;-0.51;-0.17;-2.34;-5.96;-0.38
16;1;0.050;-1.550;-3.545;0.04;-0.02;-0.05;-0.45;-0.07;-2.21;-5.41;-0.37
17;1;0.050;-1.650;-3.570;0.04;-0.01;-0.04;-0.38;-0.05;-2.07;-4.95;-0.35
18;1;0.050;-1.750;-3.595;0.05;0.00;-0.04;-0.34;-0.04;-1.98;-4.60;-0.31
19;1;0.050;-1.850;-3.619;0.06;0.01;-0.04;-0.31;-0.02;-1.94;-4.34;-0.24
20;1;0.050;-1.950;-3.644;0.06;0.01;-0.04;-0.30;-0.01;-1.95;-4.18;-0.14
21;1;0.150;-0.050;-3.200;4.18;4.54;-2.45;-15.51;27.57;46.25;69.63;-44.45
22;1;0.150;-0.150;-3.224;3.49;2.62;-1.94;4.70;16.49;31.65;52.29;-22.24
23;1;0.150;-0.250;-3.248;2.53;1.18;-1.79;6.14;7.47;23.89;35.55;-10.93
24;1;0.150;-0.350;-3.272;1.48;0.46;-1.45;3.54;3.06;17.22;22.72;-5.39
25;1;0.150;-0.450;-3.296;0.82;0.06;-1.11;1.72;0.98;11.79;13.95;-2.00
26;1;0.150;-0.550;-3.320;0.43;-0.14;-0.82;0.48;0.02;7.63;7.93;0.03
27;1;0.150;-0.650;-3.344;0.20;-0.23;-0.60;-0.26;-0.39;4.54;3.75;1.18
28;1;0.150;-0.750;-3.368;0.08;-0.25;-0.43;-0.64;-0.54;2.33;0.83;1.78
29;1;0.150;-0.850;-3.392;0.01;-0.22;-0.31;-0.78;-0.54;0.83;-1.20;2.01
30;1;0.150;-0.950;-3.416;-0.01;-0.19;-0.22;-0.78;-0.49;-0.13;-2.57;2.03
31;1;0.150;-1.050;-3.440;-0.02;-0.15;-0.15;-0.70;-0.41;-0.70;-3.44;1.93
32;1;0.150;-1.150;-3.464;-0.02;-0.11;-0.11;-0.59;-0.31;-1.02;-3.94;1.75
33;1;0.150;-1.250;-3.488;-0.01;-0.08;-0.08;-0.52;-0.20;-1.20;-4.17;1.54
34;1;0.150;-1.350;-3.512;0.00;-0.05;-0.06;-0.38;-0.18;-1.30;-4.19;1.32
35;1;0.150;-1.450;-3.536;0.01;-0.03;-0.05;-0.30;-0.15;-1.34;-4.06;1.10
36;1;0.150;-1.550;-3.560;0.01;-0.02;-0.04;-0.30;-0.09;-1.36;-3.80;0.89
37;1;0.150;-1.650;-3.585;0.02;-0.01;-0.03;-0.25;-0.04;-1.35;-3.55;0.72
38;1;0.150;-1.750;-3.609;0.03;0.00;-0.03;-0.22;0.00;-1.37;-3.36;0.61
39;1;0.150;-1.850;-3.633;0.03;0.00;-0.04;-0.22;0.02;-1.41;-3.22;0.55
40;1;0.150;-1.950;-3.657;0.04;0.01;-0.04;-0.23;0.02;-1.46;-3.13;0.55
41;1;0.250;-0.050;-3.224;3.08;2.84;-2.08;-11.26;12.43;45.36;58.53;-39.18
42;1;0.250;-0.150;-3.248;3.02;1.84;-1.86;-3.83;10.22;32.12;49.26;-25.20
43;1;0.250;-0.250;-3.271;2.22;0.96;-1.54;-0.54;6.09;22.69;37.10;-13.27
44;1;0.250;-0.350;-3.295;1.46;0.42;-1.22;0.19;3.13;15.92;26.66;-5.82
45;1;0.250;-0.450;-3.318;0.89;0.11;-0.91;0.04;1.41;10.92;18.62;-1.43
46;1;0.250;-0.550;-3.341;0.50;-0.06;-0.65;-0.23;0.49;7.20;12.69;1.13
47;1;0.250;-0.650;-3.365;0.26;-0.13;-0.46;-0.41;0.04;4.51;8.35;2.56
48;1;0.250;-0.750;-3.388;0.12;-0.16;-0.32;-0.49;-0.16;2.63;5.18;3.27
49;1;0.250;-0.850;-3.412;0.04;-0.15;-0.22;-0.48;-0.24;1.36;2.84;3.55
50;1;0.250;-0.950;-3.435;0.00;-0.13;-0.15;-0.42;-0.25;0.53;1.14;3.55
51;1;0.250;-1.050;-3.459;-0.01;-0.11;-0.11;-0.35;-0.24;0.00;-0.08;3.40
52;1;0.250;-1.150;-3.482;-0.02;-0.08;-0.08;-0.32;-0.20;-0.35;-0.93;3.13
53;1;0.250;-1.250;-3.505;-0.01;-0.06;-0.05;-0.26;-0.16;-0.60;-1.49;2.84
54;1;0.250;-1.350;-3.529;-0.01;-0.04;-0.04;-0.18;-0.13;-0.78;-1.85;2.51
55;1;0.250;-1.450;-3.552;-0.01;-0.03;-0.04;-0.16;-0.10;-0.91;-2.03;2.18
56;1;0.250;-1.550;-3.576;0.00;-0.02;-0.03;-0.15;-0.07;-0.97;-2.06;1.86
57;1;0.250;-1.650;-3.599;0.00;-0.01;-0.03;-0.14;-0.05;-1.01;-2.03;1.57
58;1;0.250;-1.750;-3.623;0.01;0.00;-0.03;-0.15;-0.02;-1.06;-1.98;1.36
59;1;0.250;-1.850;-3.646;0.01;0.00;-0.03;-0.16;0.00;-1.10;-1.94;1.22
60;1;0.250;-1.950;-3.670;0.02;0.01;-0.03;-0.17;0.01;-1.17;-1.94;1.15
61;1;0.350;-0.050;-3.249;2.26;2.17;-2.03;-9.82;7.01;44.82;55.85;-35.46
62;1;0.350;-0.150;-3.272;2.17;1.36;-1.64;-6.14;6.14;32.32;46.35;-23.96
63;1;0.350;-0.250;-3.295;1.74;0.76;-1.30;-3.16;4.27;22.42;36.92;-13.60
64;1;0.350;-0.350;-3.317;1.23;0.35;-0.98;-1.63;2.57;15.35;28.39;-6.18
65;1;0.350;-0.450;-3.340;0.80;0.11;-0.71;-0.94;1.39;10.32;21.38;-1.41
66;1;0.350;-0.550;-3.363;0.48;-0.02;-0.50;-0.63;0.68;6.77;15.90;1.48
67;1;0.350;-0.650;-3.386;0.27;-0.08;-0.34;-0.47;0.27;4.31;11.69;3.12
68;1;0.350;-0.750;-3.409;0.14;-0.10;-0.23;-0.36;0.06;2.65;8.46;3.97
69;1;0.350;-0.850;-3.431;0.06;-0.10;-0.15;-0.27;-0.05;1.54;6.00;4.33
70;1;0.350;-0.950;-3.454;0.02;-0.09;-0.11;-0.19;-0.10;0.81;4.12;4.39
71;1;0.350;-1.050;-3.477;0.00;-0.08;-0.07;-0.17;-0.13;0.32;2.69;4.25
72;1;0.350;-1.150;-3.500;-0.01;-0.06;-0.05;-0.13;-0.14;-0.05;1.63;4.01
73;1;0.350;-1.250;-3.523;-0.01;-0.05;-0.04;-0.07;-0.13;-0.32;0.85;3.69
74;1;0.350;-1.350;-3.545;-0.01;-0.03;-0.03;-0.06;-0.11;-0.52;0.30;3.34
75;1;0.350;-1.450;-3.568;-0.01;-0.02;-0.03;-0.07;-0.09;-0.66;-0.09;2.98
76;1;0.350;-1.550;-3.591;-0.01;-0.01;-0.03;-0.07;-0.06;-0.74;-0.32;2.62
77;1;0.350;-1.650;-3.614;-0.01;-0.01;-0.03;-0.07;-0.04;-0.78;-0.46;2.29
78;1;0.350;-1.750;-3.637;-0.01;0.00;-0.03;-0.09;-0.03;-0.83;-0.55;2.02
79;1;0.350;-1.850;-3.660;0.00;0.00;-0.03;-0.10;-0.02;-0.87;-0.63;1.81
80;1;0.350;-1.950;-3.682;0.00;0.01;-0.03;-0.12;-0.01;-0.93;-0.71;1.68
81;1;0.450;-0.050;-3.274;1.57;1.74;-1.88;-8.76;5.18;43.61;55.38;-32.68
82;1;0.450;-0.150;-3.296;1.53;1.07;-1.43;-6.05;4.21;31.60;45.24;-21.86
83;1;0.450;-0.250;-3.318;1.29;0.60;-1.07;-3.81;3.05;21.96;36.69;-12.81
84;1;0.450;-0.350;-3.340;0.96;0.28;-0.78;-2.26;1.99;14.83;29.27;-6.02
85;1;0.450;-0.450;-3.362;0.65;0.10;-0.55;-1.32;1.20;9.81;23.09;-1.40
86;1;0.450;-0.550;-3.385;0.41;-0.01;-0.37;-0.77;0.69;6.37;18.10;1.54
87;1;0.450;-0.650;-3.407;0.25;-0.06;-0.25;-0.46;0.36;4.07;14.13;3.28
88;1;0.450;-0.750;-3.429;0.14;-0.08;-0.17;-0.26;0.16;2.56;10.98;4.23
89;1;0.450;-0.850;-3.451;0.07;-0.08;-0.11;-0.14;0.04;1.57;8.49;4.68
90;1;0.450;-0.950;-3.473;0.03;-0.07;-0.08;-0.10;-0.03;0.90;6.53;4.80
91;1;0.450;-1.050;-3.495;0.01;-0.06;-0.05;-0.05;-0.08;0.43;4.99;4.74
92;1;0.450;-1.150;-3.518;0.00;-0.05;-0.04;0.02;-0.11;0.08;3.80;4.53
93;1;0.450;-1.250;-3.540;-0.01;-0.04;-0.03;0.02;-0.11;-0.19;2.90;4.25
