Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
48;1;0.250;-0.750;-3.388;-0.28;-0.08;-0.13;-1.26;-0.66;-10.49;-29.49;-8.89
49;1;0.250;-0.850;-3.412;-0.17;-0.04;-0.12;-1.02;-0.47;-8.94;-27.55;-8.53
50;1;0.250;-0.950;-3.435;-0.09;-0.01;-0.10;-0.81;-0.34;-7.63;-25.91;-8.06
51;1;0.250;-1.050;-3.459;-0.05;0.01;-0.09;-0.63;-0.25;-6.53;-24.46;-7.56
52;1;0.250;-1.150;-3.482;-0.02;0.02;-0.07;-0.52;-0.18;-5.57;-23.11;-7.04
53;1;0.250;-1.250;-3.505;0.00;0.02;-0.06;-0.41;-0.10;-4.77;-21.80;-6.59
54;1;0.250;-1.350;-3.529;0.01;0.03;-0.05;-0.31;-0.04;-4.10;-20.59;-6.10
55;1;0.250;-1.450;-3.552;0.02;0.03;-0.04;-0.27;0.00;-3.52;-19.39;-5.69
56;1;0.250;-1.550;-3.576;0.03;0.03;-0.04;-0.24;0.03;-3.06;-18.14;-5.30
57;1;0.250;-1.650;-3.599;0.04;0.02;-0.03;-0.21;0.04;-2.73;-16.91;-4.88
58;1;0.250;-1.750;-3.623;0.05;0.02;-0.03;-0.21;0.06;-2.46;-15.74;-4.43
59;1;0.250;-1.850;-3.646;0.05;0.02;-0.03;-0.20;0.09;-2.27;-14.65;-3.98
60;1;0.250;-1.950;-3.670;0.06;0.01;-0.02;-0.19;0.11;-2.12;-13.67;-3.53
61;1;0.350;-0.050;-3.249;-1.79;-1.30;-0.05;7.98;-3.96;-37.01;-48.79;18.78
62;1;0.350;-0.150;-3.272;-1.93;-0.88;-0.03;4.39;-4.43;-27.74;-47.94;12.05
63;1;0.350;-0.250;-3.295;-1.68;-0.57;0.00;1.58;-3.56;-20.71;-44.32;5.11
64;1;0.350;-0.350;-3.317;-1.28;-0.36;-0.01;0.04;-2.52;-16.02;-39.87;0.04
65;1;0.350;-0.450;-3.340;-0.91;-0.22;-0.04;-0.62;-1.70;-12.73;-35.78;-3.07
66;1;0.350;-0.550;-3.363;-0.62;-0.13;-0.07;-0.83;-1.14;-10.31;-32.43;-4.78
67;1;0.350;-0.650;-3.386;-0.40;-0.06;-0.08;-0.83;-0.77;-8.47;-29.77;-5.62
68;1;0.350;-0.750;-3.409;-0.26;-0.02;-0.08;-0.74;-0.53;-7.06;-27.66;-5.92
69;1;0.350;-0.850;-3.431;-0.16;0.00;-0.08;-0.62;-0.37;-5.97;-25.94;-5.93
70;1;0.350;-0.950;-3.454;-0.10;0.01;-0.07;-0.51;-0.26;-5.11;-24.52;-5.78
71;1;0.350;-1.050;-3.477;-0.06;0.02;-0.06;-0.42;-0.19;-4.38;-23.28;-5.54
72;1;0.350;-1.150;-3.500;-0.03;0.02;-0.05;-0.34;-0.11;-3.79;-22.08;-5.31
73;1;0.350;-1.250;-3.523;-0.02;0.02;-0.05;-0.27;-0.03;-3.28;-21.02;-5.04
74;1;0.350;-1.350;-3.545;0.00;0.02;-0.04;-0.25;0.02;-2.85;-20.04;-4.76
75;1;0.350;-1.450;-3.568;0.01;0.02;-0.04;-0.23;0.04;-2.48;-19.05;-4.47
76;1;0.350;-1.550;-3.591;0.01;0.02;-0.04;-0.21;0.06;-2.18;-18.01;-4.19
77;1;0.350;-1.650;-3.614;0.02;0.02;-0.03;-0.21;0.07;-1.94;-16.99;-3.86
78;1;0.350;-1.750;-3.637;0.03;0.01;-0.03;-0.21;0.08;-1.76;-15.96;-3.51
79;1;0.350;-1.850;-3.660;0.04;0.01;-0.02;-0.21;0.09;-1.62;-14.94;-3.13
80;1;0.350;-1.950;-3.682;0.04;0.00;-0.02;-0.20;0.10;-1.52;-13.96;-2.73
81;1;0.450;-0.050;-3.274;-1.05;-0.87;0.20;5.65;-2.27;-31.83;-42.65;18.93
82;1;0.450;-0.150;-3.296;-1.20;-0.59;0.10;3.65;-2.57;-23.85;-41.15;13.12
83;1;0.450;-0.250;-3.318;-1.12;-0.37;0.06;1.85;-2.21;-17.41;-38.63;7.56
84;1;0.450;-0.350;-3.340;-0.90;-0.22;0.03;0.66;-1.68;-12.77;-35.57;3.10
85;1;0.450;-0.450;-3.362;-0.67;-0.12;-0.01;0.01;-1.21;-9.56;-32.58;0.01
86;1;0.450;-0.550;-3.385;-0.47;-0.05;-0.03;-0.29;-0.85;-7.34;-29.98;-1.96
87;1;0.450;-0.650;-3.407;-0.32;-0.02;-0.04;-0.39;-0.60;-5.80;-27.81;-3.09
88;1;0.450;-0.750;-3.429;-0.22;0.01;-0.05;-0.40;-0.42;-4.73;-26.03;-3.69
89;1;0.450;-0.850;-3.451;-0.14;0.02;-0.05;-0.36;-0.29;-3.97;-24.56;-3.97
90;1;0.450;-0.950;-3.473;-0.10;0.02;-0.05;-0.32;-0.21;-3.38;-23.31;-4.04
91;1;0.450;-1.050;-3.495;-0.06;0.02;-0.04;-0.27;-0.11;-2.95;-22.15;-4.04
92;1;0.450;-1.150;-3.518;-0.04;0.02;-0.04;-0.22;-0.03;-2.56;-21.18;-3.94
93;1;0.450;-1.250;-3.540;-0.03;0.02;-0.04;-0.21;0.02;-2.23;-20.27;-3.82
94;1;0.450;-1.350;-3.562;-0.02;0.02;-0.04;-0.21;0.05;-1.92;-19.40;-3.65
95;1;0.450;-1.450;-3.584;-0.01;0.02;-0.03;-0.21;0.08;-1.66;-18.56;-3.43
96;1;0.450;-1.550;-3.606;0.00;0.01;-0.03;-0.20;0.08;-1.44;-17.69;-3.19
97;1;0.450;-1.650;-3.629;0.01;0.01;-0.03;-0.21;0.09;-1.25;-16.80;-2.93
98;1;0.450;-1.750;-3.651;0.01;0.00;-0.03;-0.21;0.09;-1.12;-15.89;-2.62
99;1;0.450;-1.850;-3.673;0.02;0.00;-0.02;-0.21;0.10;-1.02;-14.98;-2.29
100;1;0.450;-1.950;-3.695;0.03;-0.01;-0.02;-0.21;0.11;-0.95;-14.07;-1.94
101;1;0.550;-0.050;-3.298;-0.62;-0.58;0.29;4.22;-1.48;-27.64;-38.42;18.62
102;1;0.550;-0.150;-3.320;-0.74;-0.39;0.18;2.95;-1.61;-20.54;-36.53;13.37
103;1;0.550;-0.250;-3.341;-0.72;-0.23;0.11;1.73;-1.41;-14.70;-34.36;8.62
104;1;0.550;-0.350;-3.363;-0.61;-0.12;0.06;0.85;-1.12;-10.37;-32.06;4.77
105;1;0.550;-0.450;-3.385;-0.47;-0.05;0.02;0.30;-0.85;-7.36;-29.81;1.93
106;1;0.550;-0.550;-3.406;-0.34;-0.01;0.00;0.00;-0.63;-5.34;-27.75;-0.02
107;1;0.550;-0.650;-3.428;-0.24;0.01;-0.02;-0.14;-0.45;-4.03;-26.00;-1.26
108;1;0.550;-0.750;-3.449;-0.17;0.02;-0.03;-0.19;-0.31;-3.20;-24.52;-2.02
109;1;0.550;-0.850;-3.471;-0.12;0.03;-0.03;-0.20;-0.22;-2.63;-23.27;-2.46
110;1;0.550;-0.950;-3.492;-0.09;0.03;-0.03;-0.19;-0.12;-2.28;-22.11;-2.72
111;1;0.550;-1.050;-3.514;-0.07;0.02;-0.03;-0.17;-0.02;-1.97;-21.18;-2.84
112;1;0.550;-1.150;-3.535;-0.05;0.02;-0.03;-0.16;0.03;-1.70;-20.34;-2.88
113;1;0.550;-1.250;-3.557;-0.04;0.02;-0.03;-0.17;0.06;-1.44;-19.55;-2.84
114;1;0.550;-1.350;-3.579;-0.04;0.01;-0.03;-0.18;0.08;-1.19;-18.79;-2.73
115;1;0.550;-1.450;-3.600;-0.03;0.01;-0.03;-0.19;0.09;-0.98;-18.04;-2.56
116;1;0.550;-1.550;-3.622;-0.02;0.00;-0.03;-0.19;0.10;-0.80;-17.29;-2.34
117;1;0.550;-1.650;-3.643;-0.01;0.00;-0.03;-0.20;0.10;-0.65;-16.50;-2.10
118;1;0.550;-1.750;-3.665;0.00;-0.01;-0.02;-0.21;0.10;-0.54;-15.70;-1.83
119;1;0.550;-1.850;-3.686;0.01;-0.02;-0.02;-0.21;0.11;-0.47;-14.88;-1.53
120;1;0.550;-1.950;-3.708;0.01;-0.02;-0.02;-0.20;0.12;-0.42;-14.07;-1.21
121;1;0.650;-0.050;-3.323;-0.35;-0.39;0.32;3.27;-1.08;-24.16;-35.22;17.97
122;1;0.650;-0.150;-3.344;-0.45;-0.24;0.20;2.38;-1.09;-17.72;-33.14;13.09
123;1;0.650;-0.250;-3.365;-0.45;-0.13;0.13;1.49;-0.93;-12.46;-31.15;8.90
124;1;0.650;-0.350;-3.386;-0.40;-0.06;0.07;0.83;-0.76;-8.54;-29.27;5.55
125;1;0.650;-0.450;-3.407;-0.32;-0.01;0.04;0.40;-0.59;-5.84;-27.51;3.03
126;1;0.650;-0.550;-3.428;-0.24;0.01;0.01;0.14;-0.45;-4.05;-25.86;1.20
127;1;0.650;-0.650;-3.449;-0.18;0.02;0.00;0.00;-0.33;-2.94;-24.44;-0.03
128;1;0.650;-0.750;-3.470;-0.14;0.03;-0.01;-0.07;-0.24;-2.25;-23.21;-0.84
129;1;0.650;-0.850;-3.490;-0.10;0.03;-0.02;-0.10;-0.12;-1.86;-22.06;-1.39
130;1;0.650;-0.950;-3.511;-0.08;0.02;-0.02;-0.10;-0.02;-1.55;-21.14;-1.73
131;1;0.650;-1.050;-3.532;-0.07;0.02;-0.02;-0.11;0.03;-1.30;-20.31;-1.93
