Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-1.33;5.91;1.62;6.33;19.97;27.48;-9.87;-1.95
2;1;0.050;-0.150;-3.200;0.64;1.27;1.47;10.20;16.35;21.03;-0.73;-1.26
3;1;0.050;-0.250;-3.224;0.51;-0.04;0.71;8.05;8.72;18.69;-0.35;-0.86
4;1;0.050;-0.350;-3.249;0.37;-0.49;0.38;6.58;5.15;16.76;-0.99;-0.12
5;1;0.050;-0.450;-3.274;0.21;-0.61;0.21;5.06;3.56;14.73;-1.81;0.50
6;1;0.050;-0.550;-3.298;0.11;-0.66;0.11;3.72;2.70;12.63;-2.47;0.90
7;1;0.050;-0.650;-3.323;0.06;-0.66;0.06;2.62;2.13;10.41;-2.93;1.14
8;1;0.050;-0.750;-3.348;0.04;-0.64;0.02;1.71;1.70;8.17;-3.20;1.24
9;1;0.050;-0.850;-3.372;0.05;-0.60;0.01;0.96;1.34;6.04;-3.28;1.22
10;1;0.050;-0.950;-3.397;0.05;-0.55;0.01;0.35;1.04;4.11;-3.20;1.10
11;1;0.050;-1.050;-3.422;0.06;-0.49;0.01;-0.12;0.80;2.44;-2.97;0.91
12;1;0.050;-1.150;-3.446;0.07;-0.43;0.02;-0.45;0.61;1.05;-2.59;0.68
13;1;0.050;-1.250;-3.471;0.07;-0.37;0.04;-0.67;0.46;-0.10;-2.07;0.44
14;1;0.050;-1.350;-3.496;0.06;-0.31;0.04;-0.78;0.29;-0.95;-1.49;0.22
15;1;0.050;-1.450;-3.520;0.06;-0.25;0.05;-0.71;0.07;-1.56;-0.89;-0.01
16;1;0.050;-1.550;-3.545;0.06;-0.23;0.06;-0.54;0.01;-2.11;-0.20;-0.27
17;1;0.050;-1.650;-3.570;0.06;-0.20;0.06;-0.43;-0.04;-2.51;0.46;-0.53
18;1;0.050;-1.750;-3.595;0.05;-0.18;0.06;-0.32;-0.12;-2.87;1.11;-0.82
19;1;0.050;-1.850;-3.619;0.05;-0.17;0.07;-0.19;-0.16;-3.18;1.76;-1.15
20;1;0.050;-1.950;-3.644;0.05;-0.16;0.07;-0.07;-0.17;-3.46;2.38;-1.53
21;1;0.150;-0.050;-3.200;-0.39;-1.64;0.19;-2.66;-1.91;11.74;-5.12;-3.76
22;1;0.150;-0.150;-3.224;0.23;-0.32;0.21;-3.44;4.04;15.75;-3.82;-4.96
23;1;0.150;-0.250;-3.248;0.50;-0.56;0.30;0.19;3.27;14.95;-3.25;-3.94
24;1;0.150;-0.350;-3.272;0.43;-0.74;0.21;1.19;1.62;13.11;-3.55;-2.86
25;1;0.150;-0.450;-3.296;0.30;-0.80;0.11;0.92;0.61;11.16;-4.15;-2.01
26;1;0.150;-0.550;-3.320;0.19;-0.78;0.04;0.39;0.10;9.12;-4.64;-1.39
27;1;0.150;-0.650;-3.344;0.11;-0.75;0.00;-0.10;-0.14;7.06;-4.98;-0.94
28;1;0.150;-0.750;-3.368;0.07;-0.70;-0.01;-0.48;-0.23;5.07;-5.16;-0.64
29;1;0.150;-0.850;-3.392;0.04;-0.64;-0.01;-0.73;-0.23;3.26;-5.20;-0.46
30;1;0.150;-0.950;-3.416;0.03;-0.57;0.00;-0.86;-0.15;1.67;-5.09;-0.39
31;1;0.150;-1.050;-3.440;0.02;-0.50;0.01;-0.88;-0.06;0.36;-4.87;-0.40
32;1;0.150;-1.150;-3.464;0.02;-0.44;0.02;-0.82;0.04;-0.70;-4.53;-0.47
33;1;0.150;-1.250;-3.488;0.02;-0.39;0.03;-0.73;0.15;-1.54;-4.10;-0.58
34;1;0.150;-1.350;-3.512;0.02;-0.33;0.04;-0.67;0.06;-2.14;-3.59;-0.71
35;1;0.150;-1.450;-3.536;0.03;-0.29;0.05;-0.62;-0.02;-2.62;-3.02;-0.88
36;1;0.150;-1.550;-3.560;0.03;-0.24;0.06;-0.50;0.03;-3.02;-2.38;-1.08
37;1;0.150;-1.650;-3.585;0.04;-0.20;0.06;-0.33;-0.04;-3.33;-1.77;-1.30
38;1;0.150;-1.750;-3.609;0.04;-0.18;0.06;-0.18;-0.10;-3.64;-1.16;-1.57
39;1;0.150;-1.850;-3.633;0.05;-0.17;0.07;-0.08;-0.11;-3.93;-0.57;-1.87
40;1;0.150;-1.950;-3.657;0.05;-0.16;0.07;-0.01;-0.10;-4.16;0.01;-2.22
41;1;0.250;-0.050;-3.224;-0.37;-1.47;0.19;-2.72;-2.98;11.85;-6.60;-5.65
42;1;0.250;-0.150;-3.248;0.12;-1.02;0.09;-3.42;-0.77;13.28;-5.79;-6.19
43;1;0.250;-0.250;-3.271;0.23;-0.84;0.13;-1.68;0.27;12.11;-5.40;-5.61
44;1;0.250;-0.350;-3.295;0.19;-0.80;0.10;-0.57;0.18;10.31;-5.55;-4.58
45;1;0.250;-0.450;-3.318;0.11;-0.77;0.04;-0.29;-0.06;8.36;-5.90;-3.65
46;1;0.250;-0.550;-3.341;0.04;-0.73;0.00;-0.36;-0.20;6.39;-6.23;-2.90
47;1;0.250;-0.650;-3.365;-0.02;-0.68;-0.02;-0.50;-0.24;4.49;-6.48;-2.32
48;1;0.250;-0.750;-3.388;-0.04;-0.63;-0.03;-0.60;-0.20;2.73;-6.61;-1.89
49;1;0.250;-0.850;-3.412;-0.05;-0.57;-0.02;-0.65;-0.13;1.19;-6.62;-1.59
50;1;0.250;-0.950;-3.435;-0.06;-0.52;-0.01;-0.65;-0.06;-0.11;-6.52;-1.39
51;1;0.250;-1.050;-3.459;-0.05;-0.46;0.00;-0.62;0.00;-1.15;-6.31;-1.30
52;1;0.250;-1.150;-3.482;-0.04;-0.41;0.02;-0.59;0.08;-1.98;-6.00;-1.27
53;1;0.250;-1.250;-3.505;-0.03;-0.36;0.03;-0.49;0.06;-2.61;-5.62;-1.30
54;1;0.250;-1.350;-3.529;-0.02;-0.32;0.04;-0.41;-0.07;-3.09;-5.19;-1.36
55;1;0.250;-1.450;-3.552;0.00;-0.28;0.05;-0.39;-0.11;-3.50;-4.69;-1.49
56;1;0.250;-1.550;-3.576;0.01;-0.24;0.05;-0.34;-0.15;-3.85;-4.13;-1.67
57;1;0.250;-1.650;-3.599;0.02;-0.21;0.06;-0.29;-0.21;-4.16;-3.57;-1.88
58;1;0.250;-1.750;-3.623;0.03;-0.18;0.06;-0.20;-0.19;-4.45;-3.00;-2.12
59;1;0.250;-1.850;-3.646;0.04;-0.17;0.06;-0.11;-0.17;-4.70;-2.44;-2.40
60;1;0.250;-1.950;-3.670;0.05;-0.15;0.07;-0.04;-0.16;-4.90;-1.89;-2.72
61;1;0.350;-0.050;-3.249;-0.31;-1.19;0.13;-2.10;-1.59;11.78;-6.85;-6.65
62;1;0.350;-0.150;-3.272;-0.05;-1.01;0.10;-1.64;-1.54;11.46;-6.57;-6.69
63;1;0.350;-0.250;-3.295;-0.01;-0.86;0.09;-1.08;-0.74;10.01;-6.62;-6.23
64;1;0.350;-0.350;-3.317;-0.03;-0.76;0.06;-0.61;-0.36;8.13;-6.79;-5.41
65;1;0.350;-0.450;-3.340;-0.06;-0.70;0.02;-0.40;-0.23;6.18;-7.06;-4.54
66;1;0.350;-0.550;-3.363;-0.09;-0.65;-0.01;-0.38;-0.18;4.28;-7.32;-3.77
67;1;0.350;-0.650;-3.386;-0.11;-0.60;-0.02;-0.41;-0.13;2.53;-7.51;-3.14
68;1;0.350;-0.750;-3.409;-0.11;-0.56;-0.03;-0.43;-0.07;0.98;-7.61;-2.65
69;1;0.350;-0.850;-3.431;-0.11;-0.51;-0.02;-0.44;-0.02;-0.34;-7.61;-2.29
70;1;0.350;-0.950;-3.454;-0.10;-0.47;-0.01;-0.42;0.02;-1.42;-7.53;-2.04
71;1;0.350;-1.050;-3.477;-0.08;-0.43;0.00;-0.42;0.06;-2.28;-7.34;-1.88
72;1;0.350;-1.150;-3.500;-0.07;-0.38;0.01;-0.38;0.03;-2.93;-7.07;-1.81
73;1;0.350;-1.250;-3.523;-0.05;-0.34;0.02;-0.31;-0.11;-3.44;-6.75;-1.79
74;1;0.350;-1.350;-3.545;-0.04;-0.30;0.03;-0.27;-0.18;-3.89;-6.38;-1.84
75;1;0.350;-1.450;-3.568;-0.02;-0.27;0.04;-0.25;-0.22;-4.27;-5.96;-1.94
76;1;0.350;-1.550;-3.591;0.00;-0.24;0.05;-0.24;-0.26;-4.60;-5.48;-2.10
77;1;0.350;-1.650;-3.614;0.01;-0.21;0.05;-0.22;-0.27;-4.91;-4.97;-2.30
78;1;0.350;-1.750;-3.637;0.03;-0.18;0.06;-0.18;-0.24;-5.18;-4.45;-2.52
79;1;0.350;-1.850;-3.660;0.04;-0.16;0.06;-0.13;-0.20;-5.39;-3.93;-2.77
80;1;0.350;-1.950;-3.682;0.05;-0.15;0.06;-0.08;-0.17;-5.54;-3.40;-3.04
81;1;0.450;-0.050;-3.274;-0.27;-0.96;0.11;-1.18;-0.55;10.93;-6.24;-7.18
82;1;0.450;-0.150;-3.296;-0.14;-0.89;0.09;-0.34;-1.32;9.90;-6.58;-6.86
83;1;0.450;-0.250;-3.318;-0.14;-0.77;0.07;-0.25;-0.86;8.23;-7.01;-6.39
84;1;0.450;-0.350;-3.340;-0.15;-0.69;0.04;-0.22;-0.47;6.32;-7.36;-5.68
85;1;0.450;-0.450;-3.362;-0.16;-0.63;0.01;-0.22;-0.26;4.41;-7.67;-4.90
86;1;0.450;-0.550;-3.385;-0.16;-0.58;-0.01;-0.24;-0.13;2.62;-7.94;-4.18
87;1;0.450;-0.650;-3.407;-0.16;-0.54;-0.02;-0.26;-0.05;1.02;-8.14;-3.56
88;1;0.450;-0.750;-3.429;-0.14;-0.50;-0.02;-0.28;0.01;-0.35;-8.24;-3.07
89;1;0.450;-0.850;-3.451;-0.13;-0.47;-0.02;-0.28;0.04;-1.48;-8.26;-2.69
90;1;0.450;-0.950;-3.473;-0.11;-0.43;-0.01;-0.29;0.08;-2.39;-8.19;-2.41
91;1;0.450;-1.050;-3.495;-0.10;-0.39;0.00;-0.27;0.03;-3.10;-8.02;-2.23
92;1;0.450;-1.150;-3.518;-0.08;-0.35;0.01;-0.23;-0.12;-3.66;-7.81;-2.13
93;1;0.450;-1.250;-3.540;-0.07;-0.32;0.02;-0.22;-0.21;-4.15;-7.54;-2.10
