Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-1.15;-1.12;0.00;-0.01;-2.03;6.05;5.35;0.00
2;1;0.050;-0.150;-3.200;-1.09;-1.02;0.01;-0.19;-1.87;5.47;5.05;0.45
3;1;0.050;-0.250;-3.224;-1.00;-0.92;-0.02;-0.43;-1.69;4.52;4.71;1.05
4;1;0.050;-0.350;-3.249;-0.87;-0.81;-0.07;-0.64;-1.51;3.41;4.15;1.52
5;1;0.050;-0.450;-3.274;-0.74;-0.71;-0.11;-0.79;-1.32;2.36;3.50;1.80
6;1;0.050;-0.550;-3.298;-0.62;-0.61;-0.13;-0.87;-1.16;1.45;2.84;1.92
7;1;0.050;-0.650;-3.323;-0.51;-0.53;-0.14;-0.91;-1.01;0.69;2.22;1.91
8;1;0.050;-0.750;-3.348;-0.41;-0.45;-0.13;-0.90;-0.88;0.07;1.66;1.83
9;1;0.050;-0.850;-3.372;-0.33;-0.38;-0.11;-0.84;-0.74;-0.40;1.16;1.72
10;1;0.050;-0.950;-3.397;-0.27;-0.31;-0.09;-0.75;-0.60;-0.72;0.76;1.60
11;1;0.050;-1.050;-3.422;-0.21;-0.26;-0.07;-0.64;-0.46;-0.88;0.47;1.47
12;1;0.050;-1.150;-3.446;-0.17;-0.21;-0.05;-0.52;-0.33;-0.89;0.29;1.35
13;1;0.050;-1.250;-3.471;-0.14;-0.17;-0.03;-0.40;-0.22;-0.79;0.23;1.23
14;1;0.050;-1.350;-3.496;-0.12;-0.15;-0.02;-0.30;-0.13;-0.66;0.27;1.11
15;1;0.050;-1.450;-3.520;-0.11;-0.12;0.00;-0.23;-0.06;-0.57;0.36;1.00
16;1;0.050;-1.550;-3.545;-0.09;-0.10;0.00;-0.17;0.00;-0.50;0.46;0.91
17;1;0.050;-1.650;-3.570;-0.08;-0.09;0.00;-0.11;0.03;-0.39;0.53;0.85
18;1;0.050;-1.750;-3.595;-0.08;-0.08;0.00;-0.06;0.04;-0.22;0.63;0.78
19;1;0.050;-1.850;-3.619;-0.09;-0.08;0.01;-0.03;0.05;0.00;0.77;0.69
20;1;0.050;-1.950;-3.644;-0.09;-0.08;0.01;0.00;0.03;0.23;0.93;0.61
21;1;0.150;-0.050;-3.200;-1.09;-1.02;-0.01;0.19;-1.87;5.48;5.05;-0.46
22;1;0.150;-0.150;-3.224;-1.06;-0.89;0.00;0.00;-1.61;4.56;4.43;0.00
23;1;0.150;-0.250;-3.248;-0.98;-0.77;-0.02;-0.21;-1.41;3.36;4.01;0.45
24;1;0.150;-0.350;-3.272;-0.84;-0.67;-0.06;-0.39;-1.23;2.20;3.57;0.84
25;1;0.150;-0.450;-3.296;-0.71;-0.57;-0.08;-0.50;-1.06;1.24;3.08;1.11
26;1;0.150;-0.550;-3.320;-0.59;-0.49;-0.09;-0.56;-0.91;0.47;2.59;1.29
27;1;0.150;-0.650;-3.344;-0.49;-0.42;-0.09;-0.60;-0.77;-0.12;2.12;1.38
28;1;0.150;-0.750;-3.368;-0.39;-0.36;-0.09;-0.58;-0.65;-0.55;1.68;1.42
29;1;0.150;-0.850;-3.392;-0.31;-0.31;-0.07;-0.53;-0.55;-0.83;1.28;1.42
30;1;0.150;-0.950;-3.416;-0.25;-0.26;-0.05;-0.45;-0.44;-0.97;0.93;1.39
31;1;0.150;-1.050;-3.440;-0.20;-0.22;-0.04;-0.37;-0.32;-0.98;0.65;1.35
32;1;0.150;-1.150;-3.464;-0.16;-0.18;-0.02;-0.29;-0.21;-0.90;0.45;1.28
33;1;0.150;-1.250;-3.488;-0.13;-0.16;-0.01;-0.22;-0.14;-0.77;0.34;1.19
34;1;0.150;-1.350;-3.512;-0.12;-0.15;0.00;-0.17;-0.08;-0.67;0.30;1.08
35;1;0.150;-1.450;-3.536;-0.10;-0.13;0.01;-0.14;-0.03;-0.58;0.32;0.97
36;1;0.150;-1.550;-3.560;-0.09;-0.11;0.01;-0.13;0.00;-0.48;0.37;0.88
37;1;0.150;-1.650;-3.585;-0.08;-0.09;0.01;-0.10;0.00;-0.35;0.42;0.80
38;1;0.150;-1.750;-3.609;-0.08;-0.08;0.01;-0.06;0.01;-0.17;0.47;0.73
39;1;0.150;-1.850;-3.633;-0.09;-0.08;0.01;-0.03;0.01;0.05;0.55;0.65
40;1;0.150;-1.950;-3.657;-0.09;-0.08;0.01;-0.02;0.00;0.28;0.67;0.57
41;1;0.250;-0.050;-3.224;-1.00;-0.92;0.02;0.42;-1.70;4.52;4.71;-1.05
42;1;0.250;-0.150;-3.248;-0.98;-0.77;0.02;0.21;-1.41;3.36;4.01;-0.45
43;1;0.250;-0.250;-3.271;-0.87;-0.64;0.00;0.00;-1.16;2.16;3.51;0.00
44;1;0.250;-0.350;-3.295;-0.75;-0.55;-0.03;-0.16;-0.98;1.15;3.11;0.35
45;1;0.250;-0.450;-3.318;-0.64;-0.47;-0.05;-0.26;-0.85;0.36;2.73;0.62
46;1;0.250;-0.550;-3.341;-0.53;-0.40;-0.05;-0.33;-0.72;-0.24;2.34;0.83
47;1;0.250;-0.650;-3.365;-0.43;-0.35;-0.06;-0.36;-0.60;-0.66;1.95;0.98
48;1;0.250;-0.750;-3.388;-0.34;-0.30;-0.05;-0.34;-0.49;-0.93;1.59;1.07
49;1;0.250;-0.850;-3.412;-0.27;-0.26;-0.04;-0.30;-0.39;-1.06;1.27;1.13
50;1;0.250;-0.950;-3.435;-0.22;-0.23;-0.03;-0.25;-0.30;-1.08;0.97;1.17
51;1;0.250;-1.050;-3.459;-0.18;-0.20;-0.02;-0.20;-0.22;-1.02;0.71;1.16
52;1;0.250;-1.150;-3.482;-0.15;-0.17;-0.01;-0.17;-0.17;-0.91;0.51;1.13
53;1;0.250;-1.250;-3.505;-0.12;-0.15;0.00;-0.14;-0.11;-0.80;0.37;1.06
54;1;0.250;-1.350;-3.529;-0.11;-0.13;0.00;-0.11;-0.06;-0.69;0.29;0.99
