Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;1.07;-49.09;-1.13;21.63;-98.46;-95.21;112.34;-32.44
2;1;0.050;-0.150;-3.200;1.39;-4.33;-3.93;-9.06;0.05;-13.53;49.36;-16.07
3;1;0.050;-0.250;-3.224;0.73;-0.97;-2.44;-6.79;13.79;-11.14;35.56;-14.26
4;1;0.050;-0.350;-3.249;0.26;-0.74;-1.86;-3.95;11.21;-17.06;28.86;-11.10
5;1;0.050;-0.450;-3.274;0.09;-0.85;-1.45;-1.70;7.28;-20.91;23.23;-8.42
6;1;0.050;-0.550;-3.298;0.06;-0.88;-1.13;-0.50;4.62;-22.63;18.53;-6.53
7;1;0.050;-0.650;-3.323;0.07;-0.82;-0.87;-0.07;3.05;-22.99;14.81;-5.31
8;1;0.050;-0.750;-3.348;0.09;-0.73;-0.65;-0.07;2.05;-22.45;11.95;-4.58
9;1;0.050;-0.850;-3.372;0.11;-0.62;-0.47;-0.24;1.36;-21.25;9.75;-4.13
10;1;0.050;-0.950;-3.397;0.12;-0.50;-0.32;-0.43;0.88;-19.58;8.04;-3.80
11;1;0.050;-1.050;-3.422;0.12;-0.39;-0.21;-0.59;0.58;-17.62;6.77;-3.52
12;1;0.050;-1.150;-3.446;0.12;-0.29;-0.13;-0.68;0.40;-15.59;5.90;-3.23
13;1;0.050;-1.250;-3.471;0.13;-0.21;-0.08;-0.68;0.30;-13.76;5.37;-2.94
14;1;0.050;-1.350;-3.496;0.14;-0.15;-0.05;-0.63;0.20;-12.22;5.04;-2.68
15;1;0.050;-1.450;-3.520;0.14;-0.10;-0.03;-0.58;0.04;-10.73;4.72;-2.46
16;1;0.050;-1.550;-3.545;0.12;-0.06;-0.01;-0.52;-0.13;-9.22;4.31;-2.29
17;1;0.050;-1.650;-3.570;0.10;-0.04;-0.01;-0.42;-0.24;-8.07;3.94;-2.17
18;1;0.050;-1.750;-3.595;0.10;-0.03;-0.01;-0.32;-0.29;-7.50;3.67;-2.11
19;1;0.050;-1.850;-3.619;0.11;-0.02;-0.01;-0.23;-0.30;-7.26;3.41;-2.14
20;1;0.050;-1.950;-3.644;0.11;-0.02;-0.01;-0.14;-0.26;-7.14;3.13;-2.23
