Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;0.66;7.74;1.52;7.00;23.64;18.12;-19.59;-3.00
2;1;0.050;-0.150;-3.200;2.51;2.96;1.36;10.98;19.80;12.79;-10.65;-3.16
3;1;0.050;-0.250;-3.224;2.24;1.43;0.66;9.13;11.82;11.71;-10.07;-3.58
4;1;0.050;-0.350;-3.249;1.90;0.80;0.40;7.92;7.93;11.42;-10.19;-3.47
5;1;0.050;-0.450;-3.274;1.49;0.49;0.31;6.56;6.01;11.08;-10.14;-3.23
6;1;0.050;-0.550;-3.298;1.18;0.28;0.26;5.28;4.84;10.44;-9.79;-2.95
7;1;0.050;-0.650;-3.323;0.94;0.14;0.22;4.16;4.00;9.43;-9.19;-2.65
8;1;0.050;-0.750;-3.348;0.76;0.03;0.19;3.17;3.30;8.14;-8.43;-2.38
9;1;0.050;-0.850;-3.372;0.63;-0.04;0.17;2.29;2.69;6.69;-7.58;-2.17
10;1;0.050;-0.950;-3.397;0.52;-0.09;0.14;1.50;2.14;5.18;-6.68;-2.03
11;1;0.050;-1.050;-3.422;0.44;-0.11;0.12;0.83;1.66;3.71;-5.78;-1.96
12;1;0.050;-1.150;-3.446;0.38;-0.13;0.11;0.30;1.25;2.33;-4.88;-1.94
13;1;0.050;-1.250;-3.471;0.33;-0.13;0.09;-0.10;0.89;1.09;-3.99;-1.95
14;1;0.050;-1.350;-3.496;0.28;-0.11;0.08;-0.38;0.54;0.07;-3.18;-1.98
15;1;0.050;-1.450;-3.520;0.24;-0.09;0.07;-0.44;0.17;-0.78;-2.43;-2.05
16;1;0.050;-1.550;-3.545;0.24;-0.08;0.07;-0.36;0.01;-1.64;-1.71;-2.14
17;1;0.050;-1.650;-3.570;0.22;-0.06;0.07;-0.32;-0.09;-2.34;-1.09;-2.26
18;1;0.050;-1.750;-3.595;0.22;-0.05;0.07;-0.27;-0.21;-3.02;-0.48;-2.43
19;1;0.050;-1.850;-3.619;0.22;-0.04;0.07;-0.18;-0.27;-3.70;0.09;-2.65
20;1;0.050;-1.950;-3.644;0.22;-0.03;0.07;-0.10;-0.27;-4.34;0.61;-2.92
21;1;0.150;-0.050;-3.200;1.49;0.01;0.12;-2.66;1.25;3.04;-13.81;-4.25
22;1;0.150;-0.150;-3.224;2.12;1.07;0.10;-3.32;6.79;8.78;-12.19;-6.08
23;1;0.150;-0.250;-3.248;2.23;0.67;0.25;0.57;5.69;9.87;-11.44;-5.57
24;1;0.150;-0.350;-3.272;1.91;0.29;0.22;1.77;3.69;9.86;-11.38;-4.95
25;1;0.150;-0.450;-3.296;1.55;0.08;0.17;1.64;2.38;9.45;-11.45;-4.43
26;1;0.150;-0.550;-3.320;1.23;-0.04;0.14;1.18;1.61;8.63;-11.28;-4.04
27;1;0.150;-0.650;-3.344;0.96;-0.12;0.12;0.70;1.15;7.47;-10.89;-3.69
28;1;0.150;-0.750;-3.368;0.76;-0.17;0.10;0.28;0.85;6.10;-10.31;-3.41
29;1;0.150;-0.850;-3.392;0.60;-0.20;0.09;-0.05;0.67;4.64;-9.62;-3.19
30;1;0.150;-0.950;-3.416;0.47;-0.20;0.08;-0.28;0.57;3.21;-8.85;-3.03
31;1;0.150;-1.050;-3.440;0.38;-0.19;0.07;-0.41;0.50;1.88;-8.04;-2.93
32;1;0.150;-1.150;-3.464;0.31;-0.18;0.06;-0.45;0.44;0.68;-7.22;-2.87
33;1;0.150;-1.250;-3.488;0.26;-0.16;0.06;-0.43;0.42;-0.36;-6.40;-2.83
34;1;0.150;-1.350;-3.512;0.22;-0.14;0.06;-0.46;0.22;-1.21;-5.61;-2.83
35;1;0.150;-1.450;-3.536;0.21;-0.11;0.06;-0.46;0.06;-1.95;-4.82;-2.85
36;1;0.150;-1.550;-3.560;0.21;-0.08;0.06;-0.38;0.06;-2.65;-4.05;-2.90
37;1;0.150;-1.650;-3.585;0.20;-0.06;0.06;-0.25;-0.06;-3.28;-3.36;-2.97
38;1;0.150;-1.750;-3.609;0.20;-0.05;0.06;-0.12;-0.14;-3.93;-2.74;-3.11
39;1;0.150;-1.850;-3.633;0.21;-0.03;0.06;-0.06;-0.15;-4.57;-2.16;-3.30
40;1;0.150;-1.950;-3.657;0.22;-0.02;0.06;-0.02;-0.15;-5.16;-1.62;-3.55
41;1;0.250;-0.050;-3.224;1.38;0.04;0.07;-3.36;-0.05;4.96;-14.45;-5.27
42;1;0.250;-0.150;-3.248;1.85;0.24;-0.03;-3.78;1.61;8.35;-13.14;-6.58
43;1;0.250;-0.250;-3.271;1.77;0.20;0.06;-1.78;2.28;9.08;-12.48;-6.49
44;1;0.250;-0.350;-3.295;1.52;0.06;0.07;-0.43;1.88;8.88;-12.36;-5.83
45;1;0.250;-0.450;-3.318;1.23;-0.05;0.06;0.01;1.37;8.17;-12.35;-5.21
46;1;0.250;-0.550;-3.341;0.96;-0.12;0.05;0.03;1.02;7.11;-12.22;-4.70
47;1;0.250;-0.650;-3.365;0.73;-0.16;0.04;-0.07;0.79;5.82;-11.93;-4.29
48;1;0.250;-0.750;-3.388;0.56;-0.19;0.03;-0.19;0.65;4.41;-11.49;-3.97
49;1;0.250;-0.850;-3.412;0.43;-0.20;0.03;-0.28;0.56;3.00;-10.93;-3.73
50;1;0.250;-0.950;-3.435;0.33;-0.19;0.03;-0.34;0.49;1.67;-10.27;-3.55
51;1;0.250;-1.050;-3.459;0.26;-0.18;0.03;-0.37;0.41;0.48;-9.56;-3.43
52;1;0.250;-1.150;-3.482;0.22;-0.17;0.03;-0.38;0.37;-0.57;-8.81;-3.34
53;1;0.250;-1.250;-3.505;0.18;-0.14;0.04;-0.33;0.24;-1.44;-8.05;-3.29
54;1;0.250;-1.350;-3.529;0.17;-0.13;0.04;-0.29;0.05;-2.19;-7.32;-3.26
55;1;0.250;-1.450;-3.552;0.17;-0.11;0.04;-0.28;-0.04;-2.89;-6.58;-3.27
56;1;0.250;-1.550;-3.576;0.18;-0.08;0.05;-0.26;-0.12;-3.55;-5.86;-3.33
57;1;0.250;-1.650;-3.599;0.18;-0.06;0.05;-0.23;-0.21;-4.20;-5.18;-3.41
58;1;0.250;-1.750;-3.623;0.20;-0.04;0.05;-0.17;-0.21;-4.84;-4.54;-3.54
59;1;0.250;-1.850;-3.646;0.21;-0.02;0.05;-0.10;-0.19;-5.45;-3.94;-3.71
60;1;0.250;-1.950;-3.670;0.22;-0.01;0.05;-0.05;-0.17;-5.99;-3.38;-3.92
61;1;0.350;-0.050;-3.249;1.24;0.18;-0.06;-3.26;1.10;6.95;-13.50;-5.54
62;1;0.350;-0.150;-3.272;1.43;0.08;-0.07;-2.35;0.56;8.62;-12.89;-6.42
63;1;0.350;-0.250;-3.295;1.32;0.03;-0.02;-1.46;0.97;8.79;-12.76;-6.48
64;1;0.350;-0.350;-3.317;1.12;-0.03;0.00;-0.73;1.08;8.15;-12.74;-6.03
65;1;0.350;-0.450;-3.340;0.90;-0.09;0.00;-0.35;0.97;7.11;-12.74;-5.45
66;1;0.350;-0.550;-3.363;0.69;-0.13;0.00;-0.22;0.83;5.83;-12.67;-4.93
67;1;0.350;-0.650;-3.386;0.52;-0.16;0.00;-0.20;0.72;4.43;-12.46;-4.51
68;1;0.350;-0.750;-3.409;0.39;-0.17;0.00;-0.22;0.62;3.01;-12.11;-4.17
69;1;0.350;-0.850;-3.431;0.30;-0.18;0.00;-0.24;0.52;1.67;-11.66;-3.92
70;1;0.350;-0.950;-3.454;0.23;-0.17;0.01;-0.26;0.43;0.46;-11.12;-3.73
71;1;0.350;-1.050;-3.477;0.19;-0.17;0.01;-0.28;0.37;-0.61;-10.51;-3.60
72;1;0.350;-1.150;-3.500;0.15;-0.15;0.02;-0.27;0.23;-1.53;-9.83;-3.53
73;1;0.350;-1.250;-3.523;0.14;-0.13;0.02;-0.22;0.04;-2.30;-9.18;-3.47
74;1;0.350;-1.350;-3.545;0.15;-0.11;0.03;-0.19;-0.07;-3.03;-8.52;-3.46
75;1;0.350;-1.450;-3.568;0.15;-0.10;0.03;-0.19;-0.15;-3.72;-7.85;-3.48
76;1;0.350;-1.550;-3.591;0.16;-0.07;0.03;-0.18;-0.21;-4.38;-7.18;-3.54
77;1;0.350;-1.650;-3.614;0.18;-0.05;0.04;-0.18;-0.25;-5.03;-6.54;-3.63
78;1;0.350;-1.750;-3.637;0.19;-0.03;0.04;-0.16;-0.23;-5.64;-5.92;-3.76
79;1;0.350;-1.850;-3.660;0.20;-0.02;0.04;-0.13;-0.20;-6.21;-5.33;-3.91
80;1;0.350;-1.950;-3.682;0.21;0.00;0.05;-0.09;-0.18;-6.70;-4.75;-4.08
81;1;0.450;-0.050;-3.274;1.03;0.25;-0.14;-2.66;1.89;8.09;-11.42;-5.60
82;1;0.450;-0.150;-3.296;1.11;0.05;-0.11;-1.25;0.53;8.82;-11.79;-6.10
83;1;0.450;-0.250;-3.318;0.98;-0.01;-0.06;-0.79;0.63;8.44;-12.21;-6.14
84;1;0.450;-0.350;-3.340;0.81;-0.06;-0.04;-0.50;0.76;7.44;-12.48;-5.79
85;1;0.450;-0.450;-3.362;0.64;-0.10;-0.03;-0.31;0.77;6.13;-12.63;-5.31
86;1;0.450;-0.550;-3.385;0.49;-0.13;-0.02;-0.22;0.71;4.70;-12.67;-4.83
