Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
48;1;0.250;-0.750;-3.388;-0.06;0.03;-0.03;-0.20;-0.07;-0.97;-1.97;-0.59
49;1;0.250;-0.850;-3.412;-0.03;0.03;-0.03;-0.16;-0.05;-0.75;-1.98;-0.49
50;1;0.250;-0.950;-3.435;-0.02;0.02;-0.03;-0.13;-0.04;-0.56;-1.99;-0.39
51;1;0.250;-1.050;-3.459;-0.01;0.02;-0.02;-0.10;-0.03;-0.40;-1.99;-0.29
52;1;0.250;-1.150;-3.482;-0.01;0.02;-0.02;-0.10;-0.02;-0.29;-1.98;-0.20
53;1;0.250;-1.250;-3.505;0.00;0.01;-0.02;-0.09;0.00;-0.21;-1.95;-0.12
54;1;0.250;-1.350;-3.529;0.00;0.01;-0.02;-0.07;0.01;-0.16;-1.90;-0.04
55;1;0.250;-1.450;-3.552;0.01;0.01;-0.02;-0.07;0.02;-0.14;-1.83;0.03
56;1;0.250;-1.550;-3.576;0.01;0.00;-0.01;-0.07;0.02;-0.16;-1.74;0.09
57;1;0.250;-1.650;-3.599;0.01;0.00;-0.01;-0.07;0.02;-0.22;-1.62;0.15
58;1;0.250;-1.750;-3.623;0.02;0.00;-0.01;-0.08;0.02;-0.32;-1.50;0.20
59;1;0.250;-1.850;-3.646;0.02;0.00;-0.01;-0.09;0.02;-0.45;-1.38;0.24
60;1;0.250;-1.950;-3.670;0.02;0.00;-0.01;-0.09;0.02;-0.62;-1.25;0.27
61;1;0.350;-0.050;-3.249;-0.36;-0.29;0.23;2.32;-1.27;-3.85;-4.32;1.15
62;1;0.350;-0.150;-3.272;-0.37;-0.20;0.14;1.21;-1.17;-3.03;-3.74;0.41
63;1;0.350;-0.250;-3.295;-0.32;-0.11;0.08;0.36;-0.84;-2.36;-3.13;-0.19
64;1;0.350;-0.350;-3.317;-0.25;-0.04;0.04;-0.02;-0.51;-1.88;-2.64;-0.54
65;1;0.350;-0.450;-3.340;-0.17;0.00;0.01;-0.14;-0.29;-1.50;-2.31;-0.67
66;1;0.350;-0.550;-3.363;-0.12;0.02;0.00;-0.15;-0.16;-1.17;-2.12;-0.68
67;1;0.350;-0.650;-3.386;-0.08;0.03;-0.01;-0.14;-0.09;-0.90;-2.02;-0.62
68;1;0.350;-0.750;-3.409;-0.05;0.03;-0.02;-0.12;-0.06;-0.67;-1.98;-0.54
69;1;0.350;-0.850;-3.431;-0.03;0.03;-0.02;-0.10;-0.03;-0.48;-1.98;-0.45
70;1;0.350;-0.950;-3.454;-0.02;0.03;-0.02;-0.08;-0.02;-0.34;-1.98;-0.36
71;1;0.350;-1.050;-3.477;-0.01;0.02;-0.02;-0.07;-0.01;-0.23;-1.99;-0.27
72;1;0.350;-1.150;-3.500;-0.01;0.02;-0.02;-0.06;0.01;-0.15;-1.99;-0.19
73;1;0.350;-1.250;-3.523;0.00;0.01;-0.02;-0.05;0.03;-0.11;-1.99;-0.11
74;1;0.350;-1.350;-3.545;0.00;0.01;-0.01;-0.06;0.03;-0.09;-1.97;-0.03
75;1;0.350;-1.450;-3.568;0.00;0.00;-0.01;-0.06;0.03;-0.11;-1.93;0.03
76;1;0.350;-1.550;-3.591;0.00;0.00;-0.01;-0.06;0.03;-0.15;-1.87;0.09
77;1;0.350;-1.650;-3.614;0.01;0.00;-0.01;-0.07;0.03;-0.24;-1.79;0.14
78;1;0.350;-1.750;-3.637;0.01;0.00;-0.01;-0.08;0.02;-0.36;-1.69;0.19
79;1;0.350;-1.850;-3.660;0.01;-0.01;-0.01;-0.08;0.02;-0.52;-1.59;0.23
80;1;0.350;-1.950;-3.682;0.02;-0.01;-0.01;-0.09;0.02;-0.71;-1.47;0.26
81;1;0.450;-0.050;-3.274;-0.25;-0.18;0.20;1.77;-0.83;-3.65;-4.25;1.08
82;1;0.450;-0.150;-3.296;-0.27;-0.10;0.13;1.02;-0.65;-2.80;-3.61;0.39
83;1;0.450;-0.250;-3.318;-0.24;-0.04;0.07;0.48;-0.49;-2.10;-3.07;-0.12
84;1;0.450;-0.350;-3.340;-0.19;0.00;0.04;0.17;-0.33;-1.57;-2.65;-0.43
85;1;0.450;-0.450;-3.362;-0.14;0.02;0.02;0.02;-0.21;-1.17;-2.35;-0.58
86;1;0.450;-0.550;-3.385;-0.09;0.03;0.01;-0.04;-0.13;-0.86;-2.17;-0.61
87;1;0.450;-0.650;-3.407;-0.06;0.04;0.00;-0.06;-0.08;-0.62;-2.06;-0.58
88;1;0.450;-0.750;-3.429;-0.04;0.04;-0.01;-0.06;-0.04;-0.43;-2.01;-0.52
89;1;0.450;-0.850;-3.451;-0.03;0.03;-0.01;-0.06;-0.02;-0.29;-2.00;-0.44
90;1;0.450;-0.950;-3.473;-0.02;0.03;-0.01;-0.05;-0.01;-0.18;-2.00;-0.35
91;1;0.450;-1.050;-3.495;-0.01;0.02;-0.01;-0.05;0.01;-0.11;-2.00;-0.27
92;1;0.450;-1.150;-3.518;-0.01;0.01;-0.01;-0.04;0.03;-0.06;-2.02;-0.19
93;1;0.450;-1.250;-3.540;-0.01;0.01;-0.01;-0.04;0.04;-0.04;-2.02;-0.12
94;1;0.450;-1.350;-3.562;-0.01;0.01;-0.01;-0.05;0.05;-0.05;-2.01;-0.05
95;1;0.450;-1.450;-3.584;0.00;0.00;-0.01;-0.05;0.05;-0.10;-2.00;0.02
96;1;0.450;-1.550;-3.606;0.00;0.00;-0.01;-0.06;0.04;-0.17;-1.96;0.08
97;1;0.450;-1.650;-3.629;0.00;0.00;-0.01;-0.06;0.03;-0.28;-1.90;0.14
98;1;0.450;-1.750;-3.651;0.00;-0.01;-0.01;-0.07;0.03;-0.42;-1.83;0.19
99;1;0.450;-1.850;-3.673;0.01;-0.01;-0.01;-0.08;0.02;-0.60;-1.74;0.23
100;1;0.450;-1.950;-3.695;0.01;-0.01;-0.01;-0.08;0.02;-0.80;-1.64;0.26
101;1;0.550;-0.050;-3.298;-0.17;-0.12;0.17;1.39;-0.61;-3.37;-4.24;1.03
102;1;0.550;-0.150;-3.320;-0.19;-0.05;0.11;0.82;-0.40;-2.51;-3.57;0.36
103;1;0.550;-0.250;-3.341;-0.17;-0.01;0.07;0.45;-0.30;-1.81;-3.04;-0.10
104;1;0.550;-0.350;-3.363;-0.14;0.02;0.04;0.22;-0.22;-1.28;-2.66;-0.38
105;1;0.550;-0.450;-3.385;-0.10;0.03;0.02;0.09;-0.15;-0.89;-2.39;-0.52
106;1;0.550;-0.550;-3.406;-0.07;0.04;0.01;0.02;-0.10;-0.60;-2.22;-0.57
107;1;0.550;-0.650;-3.428;-0.05;0.04;0.00;-0.01;-0.06;-0.40;-2.11;-0.55
108;1;0.550;-0.750;-3.449;-0.03;0.03;0.00;-0.03;-0.03;-0.25;-2.05;-0.50
109;1;0.550;-0.850;-3.471;-0.02;0.03;-0.01;-0.03;-0.01;-0.14;-2.03;-0.43
110;1;0.550;-0.950;-3.492;-0.02;0.02;-0.01;-0.03;0.02;-0.08;-2.02;-0.36
111;1;0.550;-1.050;-3.514;-0.01;0.02;-0.01;-0.03;0.04;-0.03;-2.03;-0.29
112;1;0.550;-1.150;-3.535;-0.01;0.01;-0.01;-0.03;0.05;-0.01;-2.04;-0.21
113;1;0.550;-1.250;-3.557;-0.01;0.01;-0.01;-0.03;0.06;-0.01;-2.05;-0.14
114;1;0.550;-1.350;-3.579;-0.01;0.00;-0.01;-0.04;0.05;-0.05;-2.06;-0.07
115;1;0.550;-1.450;-3.600;-0.01;0.00;-0.01;-0.05;0.05;-0.11;-2.05;0.00
116;1;0.550;-1.550;-3.622;-0.01;-0.01;-0.01;-0.05;0.04;-0.21;-2.03;0.07
117;1;0.550;-1.650;-3.643;0.00;-0.01;-0.01;-0.06;0.03;-0.33;-1.99;0.13
118;1;0.550;-1.750;-3.665;0.00;-0.01;-0.01;-0.07;0.03;-0.49;-1.93;0.18
119;1;0.550;-1.850;-3.686;0.00;-0.01;-0.01;-0.07;0.02;-0.68;-1.86;0.23
120;1;0.550;-1.950;-3.708;0.01;-0.01;-0.01;-0.08;0.02;-0.90;-1.78;0.27
121;1;0.650;-0.050;-3.323;-0.11;-0.07;0.15;1.11;-0.48;-3.03;-4.20;0.98
122;1;0.650;-0.150;-3.344;-0.13;-0.02;0.10;0.66;-0.27;-2.18;-3.54;0.32
123;1;0.650;-0.250;-3.365;-0.11;0.01;0.06;0.39;-0.20;-1.50;-3.04;-0.11
124;1;0.650;-0.350;-3.386;-0.09;0.03;0.04;0.21;-0.15;-1.01;-2.68;-0.37
125;1;0.650;-0.450;-3.407;-0.07;0.03;0.02;0.10;-0.10;-0.65;-2.43;-0.50
126;1;0.650;-0.550;-3.428;-0.05;0.04;0.01;0.04;-0.07;-0.40;-2.26;-0.55
127;1;0.650;-0.650;-3.449;-0.04;0.03;0.00;0.01;-0.04;-0.24;-2.15;-0.54
128;1;0.650;-0.750;-3.470;-0.03;0.03;0.00;-0.01;-0.02;-0.13;-2.09;-0.50
129;1;0.650;-0.850;-3.490;-0.02;0.02;0.00;-0.02;0.01;-0.06;-2.05;-0.45
130;1;0.650;-0.950;-3.511;-0.02;0.02;-0.01;-0.02;0.04;-0.01;-2.05;-0.38
