Combination ('y',) -- 0
Run 	 Time
=================
Combination ('x', 'z') -- 0
Run 	 Time
0 	 0.000216228598873
1 	 7.93396926326e-05
2 	 8.54857251511e-05
3 	 0.000252266698681
=================
Combination ('x', 'a') -- 0
Run 	 Time
0 	 0.000277688924143
1 	 9.58222343854e-05
2 	 8.66031856219e-05
3 	 0.00026092701728
=================
Combination ('z', 'a') -- 0
Run 	 Time
0 	 0.000225168282554
1 	 9.07936623094e-05
2 	 8.88381065351e-05
3 	 0.00025198733357
=================
Combination ('y', 'x', 'z') -- 0
Run 	 Time
0 	 0.000313447658868
1 	 0.000631923889756
2 	 0.00026008892192
3 	 0.000846755663076
=================
Combination ('y', 'x', 'a') -- 0
Run 	 Time
0 	 0.000317917500666
1 	 0.000198349231539
2 	 0.000234666696457
3 	 0.000640863573466
=================
Combination ('y', 'z', 'a') -- 0
Run 	 Time
0 	 0.000310933372816
1 	 0.000183263515311
2 	 0.000254222254512
3 	 0.000635555636251
=================
Combination ('x', 'z', 'a') -- 0
Run 	 Time
0 	 0.000303949244937
1 	 0.000181587324647
2 	 0.00025282542893
3 	 0.000634438175808
=================
Combination ('y', 'x', 'z', 'a') -- 0
Run 	 Time
0 	 0.00439329579598
1 	 0.00384825445693
2 	 0.00585158169545
3 	 0.0213812090643
=================
