node_number;x[m];y[m];z[m]
759.0;1.1;0.1;-0.130022577919
760.0;1.1;0.2;-0.144094827151
761.0;1.1;0.3;-0.159928427962
762.0;1.1;0.4;-0.175733826146
763.0;1.1;0.5;-0.192626925757
764.0;1.1;0.6;-0.211292591216
765.0;1.1;0.7;-0.230963650112
766.0;1.1;0.8;-0.250670533353
767.0;1.1;0.9;-0.270138912152
768.0;1.1;1.0;-0.289519244922
769.0;1.1;1.1;-0.308921507907
770.0;1.1;1.2;-0.328359784097
771.0;1.1;1.3;-0.347826865701
772.0;1.1;1.4;-0.367283739578
773.0;1.1;1.5;-0.386687618857
774.0;1.1;1.6;-0.406053084447
775.0;1.1;1.7;-0.42542898117
776.0;1.1;1.8;-0.444839707967
777.0;1.1;1.9;-0.464277339586
778.0;1.1;2.0;-0.483727690817
780.0;1.2;0.1;-0.150483764736
781.0;1.2;0.2;-0.164981151752
782.0;1.2;0.3;-0.181011208535
783.0;1.2;0.4;-0.197673685868
784.0;1.2;0.5;-0.215495754452
785.0;1.2;0.6;-0.234297432543
786.0;1.2;0.7;-0.253358830506
787.0;1.2;0.8;-0.272209231286
788.0;1.2;0.9;-0.290878847569
789.0;1.2;1.0;-0.309576232377
790.0;1.2;1.1;-0.328359605517
791.0;1.2;1.2;-0.347153296436
792.0;1.2;1.3;-0.36591479307
793.0;1.2;1.4;-0.384669852755
794.0;1.2;1.5;-0.403444666352
795.0;1.2;1.6;-0.422227921986
796.0;1.2;1.7;-0.440999557092
797.0;1.2;1.8;-0.459770520778
798.0;1.2;1.9;-0.478543295461
799.0;1.2;2.0;-0.497302164561
801.0;1.3;0.1;-0.174531270061
802.0;1.3;0.2;-0.18821610425
803.0;1.3;0.3;-0.202924199404
804.0;1.3;0.4;-0.220444025124
805.0;1.3;0.5;-0.239225251406
806.0;1.3;0.6;-0.257639748416
807.0;1.3;0.7;-0.275599976921
808.0;1.3;0.8;-0.293549925189
809.0;1.3;0.9;-0.311618209088
810.0;1.3;1.0;-0.32972595662
811.0;1.3;1.1;-0.347826642104
812.0;1.3;1.2;-0.365914735742
813.0;1.3;1.3;-0.383992125844
814.0;1.3;1.4;-0.402075281784
815.0;1.3;1.5;-0.420182608918
816.0;1.3;1.6;-0.438306367131
817.0;1.3;1.7;-0.456423323855
818.0;1.3;1.8;-0.474526646699
819.0;1.3;1.9;-0.49261995175
820.0;1.3;2.0;-0.510703844285
822.0;1.4;0.1;-0.198956372213
823.0;1.4;0.2;-0.212347458598
824.0;1.4;0.3;-0.226444219102
825.0;1.4;0.4;-0.244346073916
826.0;1.4;0.5;-0.26312757157
827.0;1.4;0.6;-0.28071888282
828.0;1.4;0.7;-0.297684023432
829.0;1.4;0.8;-0.314912352372
830.0;1.4;0.9;-0.33241389804
831.0;1.4;1.0;-0.349891824976
832.0;1.4;1.1;-0.367283618045
833.0;1.4;1.2;-0.384669871476
834.0;1.4;1.3;-0.402075341188
835.0;1.4;1.4;-0.419479804743
836.0;1.4;1.5;-0.436881433547
837.0;1.4;1.6;-0.454290502883
838.0;1.4;1.7;-0.471704864372
839.0;1.4;1.8;-0.489110857904
840.0;1.4;1.9;-0.506511575981
841.0;1.4;2.0;-0.523919224955
843.0;1.5;0.1;-0.22038717309
844.0;1.5;0.2;-0.236292874708
845.0;1.5;0.3;-0.25245250736
846.0;1.5;0.4;-0.269467273447
847.0;1.5;0.5;-0.286480585959
848.0;1.5;0.6;-0.303157698986
849.0;1.5;0.7;-0.319799860031
850.0;1.5;0.8;-0.336542496172
851.0;1.5;0.9;-0.353276128091
852.0;1.5;1.0;-0.369968064775
853.0;1.5;1.1;-0.386687572176
854.0;1.5;1.2;-0.403444736181
855.0;1.5;1.3;-0.420182709986
856.0;1.5;1.4;-0.436881476345
857.0;1.5;1.5;-0.453574802216
858.0;1.5;1.6;-0.470289233005
859.0;1.5;1.7;-0.487015594976
860.0;1.5;1.8;-0.503732321156
861.0;1.5;1.9;-0.520440860108
862.0;1.5;2.0;-0.537156890955
864.0;1.6;0.1;-0.241041269358
865.0;1.6;0.2;-0.26020038263
866.0;1.6;0.3;-0.279475301435
867.0;1.6;0.4;-0.295048725034
868.0;1.6;0.5;-0.309506770813
869.0;1.6;0.6;-0.325262552879
870.0;1.6;0.7;-0.341947174272
871.0;1.6;0.8;-0.358337232707
872.0;1.6;0.9;-0.374184403841
873.0;1.6;1.0;-0.389989345449
874.0;1.6;1.1;-0.406053020645
875.0;1.6;1.2;-0.422227966273
876.0;1.6;1.3;-0.438306442325
877.0;1.6;1.4;-0.454290526283
878.0;1.6;1.5;-0.470289219694
879.0;1.6;1.6;-0.486342851642
880.0;1.6;1.7;-0.502410180678
881.0;1.6;1.8;-0.518453776771
882.0;1.6;1.9;-0.534476371748
883.0;1.6;2.0;-0.550500711613
885.0;1.7;0.1;-0.264841203501
886.0;1.7;0.2;-0.28487158676
887.0;1.7;0.3;-0.305360105595
888.0;1.7;0.4;-0.320077334257
889.0;1.7;0.5;-0.332812315763
890.0;1.7;0.6;-0.347625526796
891.0;1.7;0.7;-0.364052205266
892.0;1.7;0.8;-0.380030504358
893.0;1.7;0.9;-0.395085645467
894.0;1.7;1.0;-0.410046564743
895.0;1.7;1.1;-0.425428880339
896.0;1.7;1.2;-0.440999561015
897.0;1.7;1.3;-0.456423360508
898.0;1.7;1.4;-0.471704857105
899.0;1.7;1.5;-0.487015557146
900.0;1.7;1.6;-0.502410157459
901.0;1.7;1.7;-0.517816822983
902.0;1.7;1.8;-0.533182332429
903.0;1.7;1.9;-0.548523052829
904.0;1.7;2.0;-0.56387843677
906.0;1.8;0.1;-0.291696419036
907.0;1.8;0.2;-0.310575961421
908.0;1.8;0.3;-0.330079051986
909.0;1.8;0.4;-0.344292100913
910.0;1.8;0.5;-0.356338901856
911.0;1.8;0.6;-0.37038246893
912.0;1.8;0.7;-0.386196238508
913.0;1.8;0.8;-0.401582089522
914.0;1.8;0.9;-0.415924835185
915.0;1.8;1.0;-0.430137516153
916.0;1.8;1.1;-0.444839612371
917.0;1.8;1.2;-0.459770522121
918.0;1.8;1.3;-0.47452667854
919.0;1.8;1.4;-0.489110850106
920.0;1.8;1.5;-0.503732285006
921.0;1.8;1.6;-0.518453754019
922.0;1.8;1.7;-0.533182331131
923.0;1.8;1.8;-0.54785813498
924.0;1.8;1.9;-0.562522259507
925.0;1.8;2.0;-0.577233236475
927.0;1.9;0.1;-0.318993238658
928.0;1.9;0.2;-0.336672960977
929.0;1.9;0.3;-0.354663727615
930.0;1.9;0.4;-0.36818111184
931.0;1.9;0.5;-0.379841943267
932.0;1.9;0.6;-0.393309923831
933.0;1.9;0.7;-0.408403989057
934.0;1.9;0.8;-0.423068119669
935.0;1.9;0.9;-0.436713964327
936.0;1.9;1.0;-0.450243492681
937.0;1.9;1.1;-0.464277273961
938.0;1.9;1.2;-0.478543317395
939.0;1.9;1.3;-0.492619998628
940.0;1.9;1.4;-0.506511583724
941.0;1.9;1.5;-0.520440840073
942.0;1.9;1.6;-0.534476363215
943.0;1.9;1.7;-0.548523063066
944.0;1.9;1.8;-0.562522269752
945.0;1.9;1.9;-0.576525863847
946.0;1.9;2.0;-0.590598290976
948.0;2.0;0.1;-0.34570227557
949.0;2.0;0.2;-0.362435968218
950.0;2.0;0.3;-0.379327124678
951.0;2.0;0.4;-0.392193312319
952.0;2.0;0.5;-0.403423076709
953.0;2.0;0.6;-0.416261019274
954.0;2.0;0.7;-0.430568989056
955.0;2.0;0.8;-0.444504474535
956.0;2.0;0.9;-0.457504022309
957.0;2.0;1.0;-0.470382034087
958.0;2.0;1.1;-0.483727638679
959.0;2.0;1.2;-0.497302191892
960.0;2.0;1.3;-0.510703894826
961.0;2.0;1.4;-0.523919238757
962.0;2.0;1.5;-0.537156878141
963.0;2.0;1.6;-0.55050070857
964.0;2.0;1.7;-0.563878450691
965.0;2.0;1.8;-0.577233250176
966.0;2.0;1.9;-0.590598294776
967.0;2.0;2.0;-0.604026129732
968.0;0.0;2.4;-0.445058109876
969.0;0.0;2.8;-0.552732455605
970.0;0.0;3.2;-0.660426264152
971.0;0.0;3.6;-0.768119563935
972.0;0.0;4.0;-0.875795444408
973.0;0.4;2.4;-0.488659548639
974.0;0.4;2.8;-0.585134963934
975.0;0.4;3.2;-0.681616004848
976.0;0.4;3.6;-0.778321730316
977.0;0.4;4.0;-0.875751672155
978.0;0.8;2.4;-0.530290242137
979.0;0.8;2.8;-0.616096822361
980.0;0.8;3.2;-0.702134805941
981.0;0.8;3.6;-0.788830200207
982.0;0.8;4.0;-0.875786821364
983.0;1.2;2.4;-0.572336396501
984.0;1.2;2.8;-0.647600290755
985.0;1.2;3.2;-0.72351046833
986.0;1.2;3.6;-0.799655151505
987.0;1.2;4.0;-0.875795241386
988.0;1.6;2.4;-0.614913949046
989.0;1.6;2.8;-0.679970780885
990.0;1.6;3.2;-0.745251984882
991.0;1.6;3.6;-0.810524611501
992.0;1.6;4.0;-0.875795306309
993.0;2.0;2.4;-0.6582116527
994.0;2.0;2.8;-0.712619706354
995.0;2.0;3.2;-0.767012634255
996.0;2.0;3.6;-0.821404194819
997.0;2.0;4.0;-0.875795278139
998.0;-0.1;0.0;0.000646359295012
999.0;2.4;0.4;-0.488659921273
1000.0;2.4;0.8;-0.530290388658
1001.0;2.4;1.2;-0.572336412263
1002.0;2.4;1.6;-0.614913942679
1003.0;2.4;2.0;-0.658211649878
1004.0;2.4;2.4;-0.701743257018
1005.0;2.4;2.8;-0.745259799034
1006.0;2.4;3.2;-0.788771762634
1007.0;2.4;3.6;-0.832283776057
1008.0;2.4;4.0;-0.875795392633
1009.0;-0.1;-0.1;0.000471868843864
1010.0;2.8;0.4;-0.585135286226
1011.0;2.8;0.8;-0.616096941818
1012.0;2.8;1.2;-0.647600301289
1013.0;2.8;1.6;-0.679970773708
1014.0;2.8;2.0;-0.712619702382
1015.0;2.8;2.4;-0.745259797969
1016.0;2.8;2.8;-0.7778947707
1017.0;2.8;3.2;-0.810528492457
1018.0;2.8;3.6;-0.84316213878
1019.0;2.8;4.0;-0.875795474613
1020.0;-0.1;-0.2;0.000475653162819
1021.0;3.2;0.4;-0.681616278743
1022.0;3.2;0.8;-0.70213490503
1023.0;3.2;1.2;-0.723510471232
1024.0;3.2;1.6;-0.745251973329
1025.0;3.2;2.0;-0.767012626783
1026.0;3.2;2.4;-0.788771758154
1027.0;3.2;2.8;-0.810528489641
1028.0;3.2;3.2;-0.832284323649
1029.0;3.2;3.6;-0.854040185199
1030.0;3.2;4.0;-0.875795717723
1031.0;-0.1;-0.3;-0.00694885581987
1032.0;3.6;0.4;-0.778321976018
1033.0;3.6;0.8;-0.788830289882
1034.0;3.6;1.2;-0.799655144148
1035.0;3.6;1.6;-0.810524590881
1036.0;3.6;2.0;-0.821404179955
1037.0;3.6;2.4;-0.832283765242
1038.0;3.6;2.8;-0.843162130738
1039.0;3.6;3.2;-0.854040180227
1040.0;3.6;3.6;-0.864918302048
1041.0;3.6;4.0;-0.87579631836
1042.0;-0.1;-0.4;-0.021587769173
