element_number;x[m];y[m];z_middle[m];t[mm]
259.0;1.25;-1.85;0.631474861089;66.1546118997
260.0;1.25;-1.95;0.649909349745;65.6257613355
261.0;1.35;-0.05;0.333898779538;89.314853979
262.0;1.35;-0.15;0.348908647135;83.1694940206
263.0;1.35;-0.25;0.361826710707;73.4527853759
264.0;1.35;-0.35;0.377927939423;69.70515005
265.0;1.35;-0.45;0.396748792767;71.1734942581
266.0;1.35;-0.55;0.415350468068;72.3694248923
267.0;1.35;-0.65;0.432960048291;71.7491903172
268.0;1.35;-0.75;0.450387348429;70.742765462
269.0;1.35;-0.85;0.468100149601;70.2250424233
270.0;1.35;-0.95;0.485934946466;69.9256902493
271.0;1.35;-1.05;0.50371477404;69.5334333829
272.0;1.35;-1.15;0.52145385171;69.0681189366
273.0;1.35;-1.25;0.539197032817;68.6032438329
274.0;1.35;-1.35;0.556948241521;68.1461519098
275.0;1.35;-1.45;0.574706800705;67.6210534056
276.0;1.35;-1.55;0.592477557355;67.1206528035
277.0;1.35;-1.65;0.610254406276;66.6343592124
278.0;1.35;-1.75;0.628024275008;66.135491316
279.0;1.35;-1.85;0.645782051143;65.6119225165
280.0;1.35;-1.95;0.663537353294;65.0824446466
281.0;1.45;-0.05;0.35654138805;81.4007042051
282.0;1.45;-0.15;0.372502551326;78.5975100424
283.0;1.45;-0.25;0.386353747871;71.2824995484
284.0;1.45;-0.35;0.402720665991;69.3234838675
285.0;1.45;-0.45;0.420912448144;71.2468996948
286.0;1.45;-0.55;0.438554904943;72.0414167976
287.0;1.45;-0.65;0.455371523553;71.082665262
288.0;1.45;-0.75;0.472180312576;70.0885793324
289.0;1.45;-0.85;0.489274506507;69.6944253389
290.0;1.45;-0.95;0.50642440294;69.4236441672
291.0;1.45;-1.05;0.523499439701;68.9928018712
292.0;1.45;-1.15;0.540558226342;68.5177511799
293.0;1.45;-1.25;0.557635822658;68.0762546258
294.0;1.45;-1.35;0.574706864708;67.6211783608
295.0;1.45;-1.45;0.591761589023;67.1314028547
296.0;1.45;-1.55;0.60881855011;66.5643973737
297.0;1.45;-1.65;0.625888432051;66.0237071741
298.0;1.45;-1.75;0.642959830624;65.4877421754
299.0;1.45;-1.85;0.660020733585;64.9303401256
300.0;1.45;-1.95;0.677086565917;64.3808024545
301.0;1.55;-0.05;0.378097267972;71.015543604
302.0;1.55;-0.15;0.394072818989;69.7066088752
303.0;1.55;-0.25;0.412253878786;71.9364674813
304.0;1.55;-0.35;0.42928564317;72.5348106868
305.0;1.55;-0.45;0.445111930579;71.3600109424
306.0;1.55;-0.55;0.461022650177;70.1698418707
307.0;1.55;-0.65;0.477533984377;69.8944191323
308.0;1.55;-0.75;0.494211682555;69.9223129414
309.0;1.55;-0.85;0.510631364109;69.5411367762
310.0;1.55;-0.95;0.526872411476;68.8441812442
311.0;1.55;-1.05;0.543195972421;68.2787857672
312.0;1.55;-1.15;0.559650548707;67.945500958
313.0;1.55;-1.25;0.576103647333;67.608665352
314.0;1.55;-1.35;0.592477628465;67.1207957653
315.0;1.55;-1.45;0.608818562039;66.5644254653
316.0;1.55;-1.55;0.625188610551;66.057801107
317.0;1.55;-1.65;0.641588307571;65.5358661611
318.0;1.55;-1.75;0.657984108397;65.0091689215
319.0;1.55;-1.85;0.674361107924;64.444732638
320.0;1.55;-1.95;0.690732339589;63.8668834124
321.0;1.65;-0.05;0.401179543638;63.2138037156
322.0;1.65;-0.15;0.416580738001;62.1711482676
323.0;1.65;-0.25;0.438134782947;72.7561681182
324.0;1.65;-0.35;0.455675407175;75.7379873668
325.0;1.65;-0.45;0.469284755134;71.3910458961
326.0;1.65;-0.55;0.483487137472;68.1397153558
327.0;1.65;-0.65;0.4996743355;68.6134397154
328.0;1.65;-0.75;0.516249233786;69.8090397305
329.0;1.65;-0.85;0.53201580093;69.4745756143
330.0;1.65;-0.95;0.5473285266;68.2786786231
331.0;1.65;-1.05;0.562879642714;67.5306451084
332.0;1.65;-1.15;0.578733493072;67.3553426132
333.0;1.65;-1.25;0.594573019197;67.1487893344
334.0;1.65;-1.35;0.610254439717;66.6344333473
335.0;1.65;-1.45;0.625888414462;66.023678026
336.0;1.65;-1.55;0.641588282697;65.5358161742
337.0;1.65;-1.65;0.657336347992;65.1382114113
338.0;1.65;-1.75;0.673067370819;64.6429701281
339.0;1.65;-1.85;0.688764886869;64.0801840113
340.0;1.65;-1.95;0.704450697878;63.4912900474
341.0;1.75;-0.05;0.427231402661;61.2667023344
342.0;1.75;-0.15;0.441970554173;60.2492423967
343.0;1.75;-0.25;0.46330158692;72.1551765731
344.0;1.75;-0.35;0.480669731248;76.282353401
345.0;1.75;-0.45;0.493351748186;71.2659101805
346.0;1.75;-0.55;0.506456792443;67.0999382143
347.0;1.75;-0.65;0.521997903579;67.6736704425
348.0;1.75;-0.75;0.538143925741;69.4117802709
349.0;1.75;-0.85;0.553291513035;69.2020106445
350.0;1.75;-0.95;0.567807831185;67.7612867279
351.0;1.75;-1.05;0.582609467497;66.8696267783
352.0;1.75;-1.15;0.597821245003;66.7713029377
353.0;1.75;-1.25;0.613026750902;66.6577851751
354.0;1.75;-1.35;0.628024288193;66.1355234809
355.0;1.75;-1.45;0.64295979918;65.4876724838
356.0;1.75;-1.55;0.657984071217;65.0090997174
357.0;1.75;-1.65;0.673067357651;64.6429503976
358.0;1.75;-1.75;0.688119929681;64.213573562
359.0;1.75;-1.85;0.703130637694;63.6364696249
360.0;1.75;-1.95;0.718148199547;63.0680497377
361.0;1.85;-0.05;0.454535381456;62.0718132335
362.0;1.85;-0.15;0.468831058439;61.4960715076
363.0;1.85;-0.25;0.48851291324;71.5558585724
364.0;1.85;-0.35;0.504887160804;75.157210813
365.0;1.85;-0.45;0.517118732381;70.5733821977
366.0;1.85;-0.55;0.529670903361;66.603353667
367.0;1.85;-0.65;0.544535969402;67.1743056305
368.0;1.85;-0.75;0.56000975565;68.9457602094
369.0;1.85;-0.85;0.57446525871;68.7198459086
370.0;1.85;-0.95;0.588262552806;67.1944424602
371.0;1.85;-1.05;0.602373527655;66.2757514619
372.0;1.85;-1.15;0.616931217967;66.2298334498
373.0;1.85;-1.25;0.631474898609;66.1546889925
374.0;1.85;-1.35;0.645782074206;65.6119645095
375.0;1.85;-1.45;0.660020714158;64.93029846
376.0;1.85;-1.55;0.674361082357;64.4446755612
377.0;1.85;-1.65;0.688764883117;64.0801802137
378.0;1.85;-1.75;0.703130645111;63.63647954
379.0;1.85;-1.85;0.717458766151;63.1134858502
380.0;1.85;-1.95;0.731822292669;62.593460083
381.0;1.95;-0.05;0.481687944727;62.6959350875
382.0;1.95;-0.15;0.495464265945;62.4624443807
383.0;1.95;-0.25;0.513752267188;71.0664839981
384.0;1.95;-0.35;0.529089796956;73.9290265343
385.0;1.95;-0.45;0.540872069007;69.7990589024
386.0;1.95;-0.55;0.552960454702;66.260217695
387.0;1.95;-0.65;0.567120276855;66.789693036
388.0;1.95;-0.75;0.581830544449;68.4005779055
389.0;1.95;-0.85;0.595592279515;68.1398347796
390.0;1.95;-0.95;0.608729791738;66.6456797743
391.0;1.95;-1.05;0.622167277493;65.7400951598
392.0;1.95;-1.15;0.636043166238;65.6949244565
393.0;1.95;-1.25;0.649909399909;65.6258562084
394.0;1.95;-1.35;0.663537388454;65.082501453
395.0;1.95;-1.45;0.677086560185;64.3807817414
396.0;1.95;-1.55;0.690732326829;63.8668643761
397.0;1.95;-1.65;0.704450704312;63.4913073894
398.0;1.95;-1.75;0.718148215583;63.0680951656
399.0;1.95;-1.85;0.731822301168;62.5934598872
400.0;1.95;-1.95;0.74554035552;62.2029689489
401.0;0.2;-2.2;0.568610576058;65.585847247
402.0;0.2;-2.6;0.671339719536;64.3192843396
403.0;0.2;-3.0;0.773975962235;62.8678087461
404.0;0.2;-3.4;0.876598240255;61.3989467563
405.0;0.2;-3.8;0.979446075979;60.3506367735
406.0;0.6;-2.2;0.617177071732;65.206315144
407.0;0.6;-2.6;0.708801340062;63.500597711
408.0;0.6;-3.0;0.800409108563;61.7627016702
409.0;0.6;-3.4;0.892249666246;60.4567432836
410.0;0.6;-3.8;0.984737761533;60.413705329
411.0;1.0;-2.2;0.665756892917;64.8151521902
412.0;1.0;-2.6;0.746317942804;62.7440627214
413.0;1.0;-3.0;0.827107529088;61.1024533215
414.0;1.0;-3.4;0.908546152812;60.7328943404
415.0;1.0;-3.8;0.990216836155;60.8376483497
416.0;1.4;-2.2;0.713822586344;63.3561778638
417.0;1.4;-2.6;0.783684829045;61.6195071944
418.0;1.4;-3.0;0.854196311954;61.1621487874
419.0;1.4;-3.4;0.924936367303;61.1716611197
420.0;1.4;-3.8;0.995669693827;61.1667614272
421.0;1.8;-2.2;0.761930473987;61.9054528286
422.0;1.8;-2.6;0.821556142447;61.4419805165
423.0;1.8;-3.0;0.881414705476;61.4530524956
424.0;1.8;-3.4;0.941262811591;61.4423650963
425.0;1.8;-3.8;1.00111144795;61.4327843908
426.0;2.2;-0.2;0.568610355215;65.5854302977
427.0;2.2;-0.6;0.617176764819;65.2057177171
428.0;2.2;-1.0;0.665756821973;64.8150165074
429.0;2.2;-1.4;0.713822586443;63.3561751207
